source_path,source_state,disposition,target_path,information_moved,information_rejected,reason,review_status
apps/demo/,tracked_at_base,keep,apps/demo/,none,none,interaction-comparison reference during migration; not the durable /demo,approved
packages/,tracked_at_base,keep,packages/,none,none,runtime workspace packages incl RLS test suite,approved
prototype/,tracked_at_base,keep,prototype/,none,none,legacy reference harness validated by CI; not a deployable surface; disposition per file deferred to cleanup proposal,approved
design-references/,tracked_at_base,keep,design-references/,none,none,design reference material for later UI milestones,approved
design-qa/,tracked_at_base,archive,docs/legacy/README.md,none,none,historical design QA artifacts,approved
technical/schema.sql,tracked_at_base,keep,technical/database/schema-v0.1.sql,column definitions copied verbatim into migrations 0001-0002,126-table finance/support/offline target,migration comments cite exact line ranges; archive only after v0.0 re-points references,approved
technical/openapi.yaml,tracked_at_base,keep,technical/openapi/scope-v0.1.csv,idempotency-replay header contract already implemented,157-operation surface,runtime comments cite it; archive after v0.0 reference migration,approved
technical/error-catalog.csv,tracked_at_base,keep,technical/error-catalog.csv,none,none,runtime problem-code authority cited by apps/app/src/lib/http.ts,approved
technical/data-access-surface.csv,tracked_at_base,keep,technical/data-access-surface.csv,none,none,grant allowlist DA-099/DA-058 cited by migration 0003,approved
technical/state-catalog.csv,tracked_at_base,rewrite,technical/states/state-catalog.csv,lifecycle states that are facts,mutable-status rows,superseded by fact/projection-separated catalog,approved
technical/state-transitions.csv,tracked_at_base,rewrite,technical/states/transition-catalog.csv,valid transitions,transitions for unshipped contexts,superseded by canonical transition catalog,approved
technical/events.csv,tracked_at_base,rewrite,technical/events/event-catalog.csv,domain event concepts,finance/support topics,superseded by canonical event catalog with audit/delivery separation,approved
technical/permissions.csv,tracked_at_base,rewrite,technical/permissions/capabilities.csv,capability concepts,rigid role matrix,superseded by closed capabilities plus presets,approved
technical/entitlements.csv,tracked_at_base,defer,docs/legacy/README.md,none,none,billing entitlements are outside v0.1,deferred_scope
technical/terminology.csv,tracked_at_base,rewrite,docs/domain/glossary.md,canonical terms,legacy synonyms as separate concepts,glossary is the single terminology authority,approved
technical/entity-aliases.csv,tracked_at_base,merge,docs/domain/glossary.md,alias-to-canonical mapping rule,none,glossary usage rule owns synonym policy,approved
technical/data-retention-catalog.csv,tracked_at_base,defer,docs/delivery/production-readiness.md,retention-class concepts,invented default durations,input to the approved retention schedule external gate,deferred_scope
technical/asvs-profile.csv,tracked_at_base,defer,docs/legacy/README.md,none,none,ASVS mapping is a later compliance exercise,deferred_scope
technical/mobile-security-profile.csv,tracked_at_base,merge,docs/architecture/files-and-storage.md,Expo pending-original protection requirements,offline-era requirements,envelope-encryption and quarantine rules canonicalized,approved
technical/rate-limits.csv,tracked_at_base,defer,docs/legacy/README.md,none,none,throttling values are M5 implementation input,deferred_scope
technical/copy-catalog.csv,tracked_at_base,defer,docs/legacy/README.md,none,none,UI copy is per-milestone UX input,deferred_scope
technical/ui-actions.csv,tracked_at_base,defer,docs/legacy/README.md,none,none,UI action inventory is per-milestone UX input,deferred_scope
technical/command-availability.csv,tracked_at_base,defer,docs/legacy/README.md,none,none,command availability matrix is per-milestone input,deferred_scope
technical/implementation-backlog.csv,tracked_at_base,archive,docs/legacy/README.md,none,none,superseded by the canonical implementation plan,approved
technical/test-catalog.csv,tracked_at_base,rewrite,docs/delivery/test-strategy.md,test family inventory,claimed executed coverage,test strategy plus invariant catalog own testing truth,approved
technical/traceability.csv,tracked_at_base,rewrite,technical/database/invariant-catalog.csv,requirement-to-test tracing idea,rows for unshipped scope,invariant catalog test_evidence column owns tracing,approved
technical/openapi-redocly-report.txt,tracked_at_base,delete_after_transfer,none,none,generated lint report,machine-generated report reproducible from source; deletion requires explicit user approval in the cleanup proposal,pending_user_approval
technical/sql-parser-report.txt,tracked_at_base,delete_after_transfer,none,none,generated parser report,machine-generated report reproducible from source; deletion requires explicit user approval in the cleanup proposal,pending_user_approval
docs/superpowers/,approved_design_commit,keep,docs/superpowers/,none,none,approved canonical design spec and plan,approved
.agents/ (canonical tree),user_added_canonical,keep,.agents/,none,none,user-added tooling; preserved untracked; never staged deleted or classified without explicit authorization,approved
skills-lock.json (canonical tree),user_added_canonical,keep,skills-lock.json,none,none,user-added tooling lockfile; preserved untracked,approved
.agents/ (old tree),uncommitted_old_tree,defer,none,none,none,user work in the read-only old tree; not copied; user decides its future,user_review_required
.claude/ (old tree),uncommitted_old_tree,defer,none,none,none,user tooling state in the old tree; not copied,user_review_required
apps/ modified files (old tree),uncommitted_old_tree,defer,none,none,none,seven uncommitted app modifications in the old tree; require manual review before any transfer,user_review_required
docs/ modified files (old tree),uncommitted_old_tree,defer,none,none,none,four uncommitted doc modifications in the old tree; require manual review,user_review_required
.gitignore (old tree),uncommitted_old_tree,defer,none,none,none,uncommitted modification in the old tree,user_review_required
AGENTS.md (old tree),uncommitted_old_tree,defer,none,none,none,uncommitted user instruction file in the old tree,user_review_required
migration/ (old tree),uncommitted_old_tree,defer,none,none,none,uncommitted migration artifact in the old tree,user_review_required
skills-lock.json (old tree),uncommitted_old_tree,defer,none,none,none,uncommitted user lockfile in the old tree,user_review_required
