task_id,release,epic,owner_role,task,depends_on,definition_of_done,test_ids,blocking_gate,status,size,subtasks
P0-B03,Pilot,P0-B,product_engineering,"CSV/XLSX mapping, dry run and row-error export",P0-B02,ambiguous numbers/formulas require confirmation; no silent normalization,T-IMPORT-001,V-001,not_started,S,
P0-B04,Pilot,P0-B,engineering,Immutable contract version publish and re-import diff,P0-B03,published baseline reproducible; submitted lines not overwritten,T-IMPORT-002|T-CONTRACT-001,V-001,not_started,S,
P0-B05,Pilot,P0-B,product,Golden BOQ reconciliation fixture,P0-B04,"row count, quantity, rate, tax mode and total signed by process owner",T-RECON-001,V-001,not_started,S,
P0-C01,Pilot,P0-C,product,Electrical MEP rule pack schema and applicability,P0-B04,required moments/docs/quantity/location/reviewer represented without custom code,T-RULE-001,V-001,not_started,S,
P0-C02,Pilot,P0-C,engineering,"Versioned rule publish, impact preview and rollback",P0-C01,old snapshots keep prior version; affected work listed before publish,T-RULE-002,none,not_started,S,
P0-C03,Pilot,P0-C,engineering,Deterministic requirement evaluation and explainability,P0-C02,state and reasons recompute from versioned inputs with no AI decision,T-READY-001,PILOT-BLOCKER,not_started,M,
P0-C04,Pilot,P0-C,engineering,"Waiver command with authority, expiry and compensating decision",P0-C03,waiver never deletes requirement; manifest and audit expose it,T-WAIVER-001,V-002,not_started,S,
P0-D01,Pilot,P0-D,mobile_engineering,Native assignment cache and Today workflow,P0-A06|P0-C02,scoped tasks open from local cache; revoke/expiry policy enforced,T-MOBILE-001,V-009,not_started,L,
P0-D02,Pilot,P0-D,mobile_engineering,Durable local capture draft and command outbox,P0-D01,app kill/restart preserves draft and stable operation IDs,T-CAPTURE-001,PILOT-BLOCKER,not_started,L,
P0-D03,Pilot,P0-D,mobile_engineering,Camera/document/audio/quantity/location capture policy,P0-D02,source and policy labels explicit; gallery/microphone/GPS controlled by versioned policy,T-CAPTURE-002,V-004,not_started,S,
P0-D04,Pilot,P0-D,engineering,"Resumable media upload, intent sealing, hash verification and deduplication",P0-B02|P0-D02,retry cannot widen or reuse purpose subject object tuple or retention class; one sealed receipt/job links operation ID; evidence and quantity never duplicate,T-SYNC-001|T-UPLOAD-001|T-UPLOAD-002,PILOT-BLOCKER,not_started,XL,(1) resumable upload; (2) intent sealing (immutable/idempotent); (3) hash verification; (4) dedup by clientOperationId
P0-D05,Pilot,P0-D,mobile_engineering,"Conflict, terminal failure, retry and storage-pressure UI",P0-D04,user can recover/export diagnostics without losing local evidence,T-SYNC-002,PILOT-BLOCKER,not_started,M,
P0-D06,Pilot,P0-D,qa,Physical Android/iPhone offline failure matrix,P0-D05,"airplane mode, poor network, kill, retry, duplicate tap, low storage and revoke evidenced",T-DEVICE-001,V-009,not_started,S,
P0-E01,Pilot,P0-E,product_engineering,Internal review queue and exact evidence inspector,P0-C03|P0-D04,reviewer sees source/version/rules/financial impact and scope,T-REVIEW-001,none,not_started,S,
P0-E02,Pilot,P0-E,engineering,Approve/structured return/linked correction commands,P0-E01,decisions immutable; correction creates linked version and recalculation,T-REVIEW-002,PILOT-BLOCKER,not_started,M,
P0-E03,Pilot,P0-E,engineering,Segregation-of-duties and concurrent decision handling,P0-E02,creator/self-review and stale concurrent version cases follow policy,T-SOD-001|T-CONCURRENCY-001,PILOT-BLOCKER,not_started,M,
P0-E04,Pilot,P0-E,engineering,Internal notifications read receipts preferences and delivery retry,P0-E02,own-recipient read/preferences are version-safe; mandatory classes remain; external channels gated; no sensitive telemetry,T-NOTIFY-001,none,not_started,S,
P0-E05,Pilot,P0-E,product_engineering,Scoped evidence request and blocker-safe resolution,P0-C03|P0-D01,create/cancel/expire/fulfill commands are audited; request creation never clears readiness blocker,T-EVIDENCE-REQUEST-001,PILOT-BLOCKER,not_started,M,
P0-F01,Pilot,P0-F,product_engineering,Readiness dashboard with reproducible performed/ready/risk totals,P0-C03|P0-E02,every aggregate drills to classified lines and engine version,T-READY-002,PILOT-BLOCKER,not_started,M,
P0-F02,Pilot,P0-F,engineering,Reporting period lock preflight and guarded reopen,P0-F01,concurrent close prevented; blockers previewed; eligible pre-submission period reopens without rewriting snapshots,T-PREFLIGHT-001|T-PERIOD-REOPEN-001,PILOT-BLOCKER,not_started,M,
P0-F03,Pilot,P0-F,engineering,Immutable package snapshot and line manifest,P0-F02,"snapshot stores exact inputs, rules, waivers and totals",T-PACK-001,PILOT-BLOCKER,not_started,M,
P0-F04,Pilot,P0-F,engineering,Isolated deterministic renderer and retry-safe package job,P0-F03,same logical snapshot produces matching normalized manifest/hash,T-PACK-002|T-JOB-002,PILOT-BLOCKER,not_started,L,
P0-F05,Pilot,P0-F,product_engineering,"Generic evidence index, quantity and readiness export",P0-F04,"download is scoped, expiring, audited and clearly operational/draft",T-EXPORT-001,none,not_started,S,
P0-F06,Pilot,P0-F,product,First customer adapter behind verification gate,P0-F05,"accepted/returned fixtures, sign-off, rollback and watermark rules attached",T-ADAPTER-001,V-001|V-002,not_started,S,
P0-F07,Pilot,P0-F,product_engineering,Manual submission and external-decision receipt,P0-F05,channel/recipient/reference/exact version recorded; no KEP claim,T-SUBMIT-001,V-002,not_started,S,
P0-G01,Pilot,P0-G,engineering,"Organization export, resumable register, suspension-readable mode and closure cooling-off",P0-A07,owner can rediscover exact export state/version without storage keys and the active closure job from organization state after response loss then download through a short grant or cancel cooling-off; deletion scheduling is blocked until retention and hold gates validate,T-EXPORT-001|T-EXPORT-002|T-SUSPEND-001|T-CLOSURE-001|T-DELETION-EXEC-001,V-003,not_started,S,
P0-G02,Pilot,P0-G,engineering,"Monitoring, redacted logs, alerts and cost/queue dashboards",P0-F04,synthetic failures reach named receiver and link to runbook,T-ALERT-001,PILOT-BLOCKER,not_started,M,
P0-G03,Pilot,P0-G,operator,"Backup, object inventory and isolated restore drill",P0-G02,database/object references and hashes pass after timestamped restore,T-RESTORE-001,PILOT-BLOCKER,not_started,M,
P0-G04,Pilot,P0-G,operator,Deploy rollback and bad-migration rehearsal,P0-A02|P0-G02,application rollback and compatible forward-fix complete inside target; ordered release/deploy runbook (cut→migrate→staging validate+smoke→canary→rollout→monitor→rollback) reproducible by a second engineer with named post-deploy prod smoke,T-ROLLBACK-001|T-DEPLOY-SMOKE-001,PILOT-BLOCKER,not_started,M,
P0-G05,Pilot,P0-G,founder,"Privacy, terms, DPA, subprocessors and incident contacts",P0-G02,versioned legal baseline approved and published before live data,T-LEGALPACK-001,PILOT-BLOCKER,not_started,M,
P0-G06,Pilot,P0-G,product_qa,Independent role-based UAT on redacted real fixture,P0-F07|P0-G03,customer users complete import/capture/review/close/export without founder driving,T-UAT-001,V-001|V-002,not_started,S,
P0-G07,Pilot,P0-G,founder,"Signed scope, provisioning, support and offboarding rehearsal",P0-G01|P0-G05|P0-G06,"one-tenant limitations, hours, retention and kill criteria accepted",T-PILOT-ADMISSION-001,PILOT-BLOCKER,not_started,M,
P0-G08,Pilot,P0-G,product_qa,Critical-flow accessibility and responsive prototype/browser smoke,P0-F07,"keyboard, screen reader, 200% zoom, 320px and target browsers complete every primary/recovery action",T-A11Y-001|T-PROTO-001,PILOT-BLOCKER,not_started,M,
P0-G09,Pilot,P0-G,engineering,"Reference performance, queue backpressure and tenant cost controls",P0-F04|P0-G02,measured API/mobile/queue budgets; async load cannot starve interactive work; abort thresholds work,T-PERF-001,PILOT-BLOCKER,not_started,M,
P0-G10,Pilot,P0-G,product_engineering,Isolated Pilot platform billing issue settlement and tenant read-only history,P0-A04|P0-G01,dedicated platformBillingAuth audience and aktflow_platform_billing guarded functions issue/reconcile exact invoice snapshots; aktflow_app can list scoped settlement IDs fingerprints and net reversal totals but is mutation-denied; issue/payment are idempotent; invalid seller-document mode stays gated; project money cannot activate service,T-SAAS-PAYMENT-001|T-BILL-001|T-SUSPEND-001,V-006,not_started,XL,(1) platform-billing audience/functions; (2) issue/settlement; (3) tenant read-only history
G1-01,GA,G1,engineering,"Variations, notice versions and operational acknowledgement",P0-F07,base contract remains immutable; evidence/value/recipient/version receipt,T-VAR-001,V-002,not_started,S,
G1-02,GA,G1,engineering,"Secure external review with OTP, expiry, revoke and exact-version decision",P0-F04,token abuse matrix passes; assurance wording approved,T-EXT-001|T-EXT-002,V-002,not_started,S,
G1-03,GA,G1,product_engineering,"Package compare, return, correction and resubmission",G1-02,reviewer and sender can explain every version delta,T-RESUBMIT-001,V-001,not_started,S,
G2-01,GA,G2,engineering,"Acceptance, receivable, retention, deduction and dispute commands/ledgers",G1-03,every user transition has explicit API authority; receivable version and derived totals plus bounded signed ledger effects reconstruct immutable project-commercial history separate from SaaS billing,T-PAY-001|T-COMMERCIAL-LIFECYCLE-001,V-002|V-006,not_started,S,
G2-02,GA,G2,engineering,Partial payment import/manual entry allocation reversal and read-back,G2-01,duplicate fingerprint and concurrent allocation/reversal cannot over-allocate or over-reverse; allocation batch is bounded and unique by receivable; list/detail reconstructs fingerprint allocations and reversal total,T-PAY-001|T-PAY-002|T-COMMERCIAL-LIFECYCLE-001,GA-BLOCKER,not_started,S,
G2-03,GA,G2,product_engineering,"Aging, reconciliation and scoped commercial exports",G2-02,server totals reproduce every cursor-paged ledger effect; balance-after and currency boundaries are explicit,T-COMMERCIAL-001,GA-BLOCKER,not_started,S,
G3-01,GA,G3,engineering,Self-service plan changes usage snapshots and advanced entitlement controls,P0-G10,server-side enforcement metering and preview use exact plan version without bypassing Pilot authority,T-ENTITLEMENT-001,GA-BLOCKER,not_started,S,
G3-02,GA,G3,engineering,SaaS cancellation reactivation invoice correction and lifecycle automation,G3-01|P0-G10,GA state and append-only invoice-adjustment commands are idempotent; suspension remains readable,T-BILL-001|T-SAAS-PAYMENT-001|T-SUSPEND-001,V-006,not_started,S,
G3-03,GA,G3,founder,Accountant-approved Ukrainian seller document and VAT configuration,G3-02,enabled fields/forms match seller setup and remain versioned,T-SAAS-DOC-001,V-006,not_started,S,
G4-01,GA,G4,engineering,Separate support admin audience and time-bound grants,P0-A06,no tenant membership; recent auth approval banner and audit; scoped list restores exact active grant metadata after response loss and revoke/expiry is immediate,T-SUPPORT-001,GA-BLOCKER,not_started,S,
G4-02,GA,G4,engineering,Webhooks/integrations with dry-run state commands signing replay SSRF and secret rotation,P0-A07,"preview/pause/resume/revoke/rotate and delivery abuse suites pass with versioned receipts; integration secrets use envelope encryption (KEK in managed KMS, per-secret DEK, key_id/wrapped_dek) with KEK rotation independent of secret_version",T-WEBHOOK-001|T-SSRF-001|T-INTEGRATION-LIFECYCLE-001,GA-BLOCKER,not_started,S,
G4-03,GA,G4,security,Independent ASVS/MASVS application security and privacy review remediation,G4-01|G4-02,all applicable ASVS L2/mobile profile evidenced; no open critical/high isolation/auth/data-loss/secret finding,T-ASVS-001|T-PRIVACY-001|T-SECURITY-REVIEW-001,GA-BLOCKER,not_started,S,
G4-04,GA,G4,operator,"Measured SLO, restore history, incident and founder-unavailable exercises",P0-G03|P0-G04,claims match observed evidence and continuity contacts work,T-DR-001,GA-BLOCKER,not_started,S,
G4-05,GA,G4,engineering_security,Two-party ownership transfer and final-owner continuity,P0-A03|P0-A04,"successor MFA/recent-auth, expiry, atomic role swap, session refresh, cancel/race recovery and tenant-visible audit pass",T-OWNERSHIP-001,GA-BLOCKER,not_started,S,
G5-01,GA,G5,product,Second customer configuration closes without database/manual artifact edits,G1-03|G2-03,adapter/config boundary proven across two customers,T-REPEATABILITY-001,GA-BLOCKER,not_started,S,
G5-02,GA,G5,product,Expansion adapter qualification for another specialization/country,G5-01,"local artifact, counsel/process sign-off, fixtures and kill switch",T-ADAPTER-002,V-008,not_started,S,
P0-B06,Pilot,P0-B,product_engineering,Versioned contract terms editor preview and publish,P0-B02|P0-B04,exact formulas rounding currency and dependencies publish immutably with fresh impact receipt,T-TERMS-001,PILOT-BLOCKER,not_started,M,
P0-B07,Pilot,P0-B,product_engineering,Controlled reference register upload validation and revision impact,P0-B03|P0-B06,published revisions are immutable and assignments freeze exact version and hash,T-REFERENCE-001,PILOT-BLOCKER,not_started,M,
P0-C05,Pilot,P0-C,product_engineering,Work assignments occurrence generation and scoped Today receipt,P0-B07|P0-C02|P0-C04,assignment exact versions and quantity create a deterministic unique occurrence set,T-ASSIGNMENT-001|T-OCCURRENCE-001,PILOT-BLOCKER,not_started,M,
P0-D07,Pilot,P0-D,mobile_engineering,Typed evidence forms and assignment occurrence offline binding,P0-C05|P0-D02|P0-D03,allowlisted schema responses sync with immutable lineage and no content loss,T-TYPED-EVIDENCE-001|T-SYNC-001|T-SYNC-002,PILOT-BLOCKER,not_started,M,
P0-E06,Pilot,P0-E,engineering_qa,Review task SLA hold point and concealment controls,P0-D07|P0-E02,SoD exact versions SLA escalation hold decisions and concealment receipts close deterministically,T-HOLD-001|T-REVIEW-SLA-001|T-REVIEW-001,PILOT-BLOCKER,not_started,M,
P0-F08,Pilot,P0-F,product_engineering,Package line decision reconciliation and correction actions,P0-E06|P0-F05,every immutable package line receives a balanced append-only decision and explicit correction path,T-PACKAGE-DECISION-001|T-QUANTITY-CORRECTION-001,PILOT-BLOCKER,not_started,M,
P0-A11,Pilot,P0-A,product_architecture,Feature promise registry linter and release boundary enforcement,P0-A06,all promises classify and cross-link to states permissions API tests backlog and rollout or explicit no-build,T-FEATURE-PROMISE-001|T-SPEC-SEMANTIC-001,PILOT-BLOCKER,not_started,M,
P0-A12,Pilot,P0-A,data_engineering,Executable exact-subject schema constraints and migration harness,P0-A06,PostgreSQL 15 applies cleanly and every composite foreign key resolves to an exact primary or unique key,T-SCHEMA-FK-001|T-SUBJECT-001|T-TENANT-001,PILOT-BLOCKER,not_started,M,
P0-A13,Pilot,P0-A,platform_engineering,Persistent idempotency responses job leases fencing and outbox commit,P0-A12,same request replays exactly and stale workers cannot commit domain or outbox effects,T-IDEMP-001|T-IDEMP-LEASE-001|T-JOB-001,PILOT-BLOCKER,not_started,M,
P0-B08,Pilot,P0-B,product_engineering,Atomic project onboarding with one active contract shell and guarded lifecycle,P0-A12,project plus contract shell commit atomically and state changes use only dedicated transition commands,T-CONTRACT-SHELL-001|T-PROJECT-LIFECYCLE-001,PILOT-BLOCKER,not_started,M,
P0-C06,Pilot,P0-C,product_engineering,Scoped search saved views and hierarchical location import,P0-B08|P0-A13,permission-filtered search actor-owned allowlisted views and fresh preview location commits pass,T-SEARCH-VIEW-001|T-LOCATION-IMPORT-001|T-PREVIEW-001,PILOT-BLOCKER,not_started,M,
P0-C07,Pilot,P0-C,product_engineering,Assignment preview partial row commit lifecycle and offline execution bundle,P0-C05|P0-A13,each row is replay-safe lifecycle guards are exclusive and one exact bundle drives field execution,T-ASSIGNMENT-PARTIAL-001|T-ASSIGNMENT-LIFECYCLE-001|T-OCCURRENCE-001,PILOT-BLOCKER,not_started,M,
P0-D08,Pilot,P0-D,product_engineering,Exact evidence link invalidation and narrow downstream recomputation,P0-D07|P0-A12,cross-subject links fail and invalidation preserves history while recalculating only linked occurrences,T-SUBJECT-001|T-EVIDENCE-INVALIDATE-001,PILOT-BLOCKER,not_started,M,
P0-F09,Pilot,P0-F,product_engineering,Atomic package decision sets pending reconciliation and current quantity claims,P0-F08|P0-A13,aggregate records cannot accept a package and balanced exact lines transition once with no double claim,T-PACKAGE-DECISION-002|T-PERIOD-CLAIM-001|T-IDEMP-LEASE-001,PILOT-BLOCKER,not_started,M,
P0-A14,Pilot,P0-A,product_architecture,Semantic state and field-level API SQL invariant validator,P0-A12,CI rejects terminal states with outgoing transitions nonterminal states without recovery and quantity numbering acceptance or billing schema drift,T-STATE-RECOVERY-001|T-SPEC-SEMANTIC-001|T-SCHEMA-FK-001,PILOT-BLOCKER,not_started,M,
P0-C08,Pilot,P0-C,product_engineering,Assignment reviewer reassignment reference acknowledgement and organization-wide atomic member offboarding,P0-C07|P0-A13,exact-version commands preserve occurrences; organization-level staged plan covers every project and organization responsibility in bounded pages; persisted item pages resume saved progress; stale omitted or explicit block_revoke rows prevent consume while size never truncates correctness,T-ASSIGNMENT-001|T-REFERENCE-001|T-OFFBOARD-001|T-OFFBOARD-MULTI-001|T-REVIEW-SLA-001,PILOT-BLOCKER,not_started,XL,(1) assignment reassignment receipt; (2) reference acknowledgement; (3) org-wide atomic offboarding — each a distinct exact-version command
P0-F10,Pilot,P0-F,product_engineering,Stable serializable package numbering series,P0-F09|P0-A13,project bootstrap creates a visible default series; contract policy can list its read-only next sequence; server-owned series survives contract-terms changes and concurrent snapshot retry void or supersede never resets duplicates or reuses a package document number,T-PACKAGE-NUMBER-001|T-PACK-001|T-CONCURRENCY-001,PILOT-BLOCKER,not_started,L,
P0-B09,Pilot,P0-B,product_engineering,Guarded contract completion reopen and termination lifecycle,P0-B08,exact-version commands preserve history block illegal recovery and prevent project completion or archive while its contract remains active,T-CONTRACT-LIFECYCLE-001,PILOT-BLOCKER,not_started,M,
G1-05,GA,G1,product_engineering,Complete variation alternative decision dispute and incorporation lifecycle,G1-01|P0-B09,return reject withdraw dispute resolution and incorporation bind exact versions and never rewrite issued evidence,T-VARIATION-LIFECYCLE-001|T-VAR-001|T-VAR-002,GA-BLOCKER,not_started,S,
G2-04,GA,G2,product_engineering,Single-head append-only acceptance supersession and exact receivable lineage,G2-01,same-package successor uses expected acceptance version; state amounts reconcile; one current head exists and every receivable references that exact acceptance without exceeding it,T-COMMERCIAL-LIFECYCLE-001|T-PAY-001|T-ACCEPTANCE-LINEAGE-001,GA-BLOCKER,not_started,S,
G3-04,GA,G3,platform_engineering,Subscription consequence preview invoice concurrency credit and explicit settlement reversal receipt,G3-02,cancel/reactivate consumes fresh preview; paid corrections use expected version; bounded reversal returns exact payment invoice subscription versions balances and states,T-BILLING-STATE-001|T-BILLING-LEDGER-001|T-SAAS-PAYMENT-001|T-SAAS-REVERSAL-001,GA-BLOCKER,not_started,S,
P0-D09,Pilot,P0-D,mobile_engineering,Server-verifiable offline authorization lease,P0-D01|P0-A07,idempotently issued bounded lease binds membership assignment user policy and bundle versions; capture and upload require the exact lease and never trust device time alone,T-OFFLINE-AUTH-001|T-MOBILE-001|T-SYNC-002,PILOT-BLOCKER,not_started,L,
P0-A15,Pilot,P0-A,product_architecture,Primary read-model closure and OpenAPI SQL parity enforcement,P0-A14,every primary screen has a scoped bounded read operation; every growing collection is cursor-traversable with no bare arrays; every request and response array has a finite machine-checked ceiling; CI compares critical identifiers versions lineage dates money authorization enums nullability and derived-field allowlist,T-READ-CLOSURE-001|T-API-SQL-PARITY-001|T-SPEC-SEMANTIC-001,PILOT-BLOCKER,not_started,XL,(1) per-screen scoped read closure; (2) cursor traversal / no bare arrays; (3) OpenAPI↔SQL read parity
P0-A16,Pilot,P0-A,product_architecture,Canonical command availability decision table,P0-A14,one priority-ordered rule covers every command class across organization subscription project contract membership assignment and first-receipt states; API UI worker and tests consume the same artifact,T-COMMAND-AVAILABILITY-001|T-STATE-REACHABILITY-001,PILOT-BLOCKER,not_started,M,
P0-A17,Pilot,P0-A,security_engineering,Cursor-based member offboarding plan and scoped project removal,P0-A13|P0-C08,large cross-project dependency scans and persisted plan-item pages resume without truncation or hidden client state; block_revoke is a first-class safe stop; exact resolutions consume once; global revoke remains owner admin or security only while scoped managers remove only their project authorization,T-OFFBOARD-SCALE-001|T-OFFBOARD-001|T-TENANT-001,PILOT-BLOCKER,not_started,XL,(1) cursor offboarding plan (no truncation/hidden client state); (2) scoped project-removal receipts — split from C08
P0-B10,Pilot,P0-B,product_engineering,Narrow measured-BOQ lineage terms effective-date and business calendar,P0-B06|P0-B09,only positive measured rows publish with single-head lineage; section headings become paths; unsupported rows block; Pilot future-effective terms reject; exact terms calendar reproduces due dates,T-REIMPORT-LINEAGE-001|T-BOQ-LINE-TYPE-001|T-TERMS-EFFECTIVE-001|T-BUSINESS-CALENDAR-001,PILOT-BLOCKER,not_started,M,
P0-C09,Pilot,P0-C,product_engineering,Typed deterministic occurrence strategies and atomic assignment bundle,P0-C07|P0-A13,published canonical rule config produces idempotent once date batch and authoritative quantity-threshold occurrences; each accepted batch row is atomic and rejected rows have no side effects,T-OCCURRENCE-STRATEGY-001|T-RULE-PAYLOAD-001|T-ASSIGNMENT-BUNDLE-001,PILOT-BLOCKER,not_started,M,
P0-D10,Pilot,P0-D,mobile_security,Post-invalidation capture quarantine authoritative reporting date and association boundary,P0-D09|P0-A16,all parent changes invalidate leases; first server receipt after invalidation quarantines; device date is a claim; only local pre-submit association may change and server history never retargets,T-OFFLINE-REVOKE-001|T-LEASE-PARENT-001|T-REPORTING-DATE-001|T-EVIDENCE-ASSOCIATION-001,PILOT-BLOCKER,not_started,M,
P0-E07,Pilot,P0-E,product_engineering,Waiver revocation and guarded review decision correction lineage,P0-E06|P0-A13,waiver expiry/revocation and review correction are append-only exact-version receipts; the correction reopens one task and the later decision becomes the lineage successor; downstream use blocks shortcut correction,T-WAIVER-REVOKE-001|T-REVIEW-CORRECTION-001,PILOT-BLOCKER,not_started,M,
P0-F11,Pilot,P0-F,product_engineering,Normalized package decision issues and numbered period close cycles,P0-F10|P0-A13,no decision mismatch is silently discarded; blockers prevent reconciliation; every close cancel reopen and reclose has one numbered immutable cycle and downstream use blocks reopen,T-PACKAGE-ISSUE-001|T-PERIOD-CYCLE-001|T-PACKAGE-DECISION-002,PILOT-BLOCKER,not_started,XL,(1) normalized decision issues; (2) numbered period close cycles; (3) cancel/reopen/reclose receipts
P0-G11,Pilot,P0-G,platform_engineering,Fenced export cancellation and partial artifact cleanup,P0-G01|P0-A13,authorized register restores exact export ID/version after response loss; pre-start export cancels atomically; running export reaches cancel_requested and only current worker fence may erase partial artifacts and commit one cancellation receipt,T-EXPORT-CANCEL-001|T-IDEMP-LEASE-001,PILOT-BLOCKER,not_started,M,
G2-05,GA,G2,product_engineering,Downstream-locked acceptance correction and payment business deduplication,G2-04,acceptance successor cannot retarget an active receivable or payment; compensation is explicit; canonical payment fingerprint prevents duplicate money independently of request id,T-ACCEPTANCE-DOWNSTREAM-001|T-PAYMENT-FINGERPRINT-001|T-ACCEPTANCE-LINEAGE-001,GA-BLOCKER,not_started,S,
G2-06,GA,G2,product_engineering,Create and retire globally unique commercial numbering series,P0-F10,new exact-contract-version format has a durable idempotent creation receipt and starts at server sequence one; unused or used unreferenced series may retire; organization document numbers sequences and issued history remain immutable under concurrent package creation,T-NUMBERING-SERIES-001|T-PACKAGE-NUMBER-001,GA-BLOCKER,not_started,S,
