state_machine,from_state,to_state,trigger,guard_or_rule,source_document
upload_intent.status,integrity_verified,scan_pending,inspection starts,pinned scanner/policy version; reserved for the v0.3 resumable protocol; not written in v0.1 (supabase/migrations/0015 permits the value; no code writes it),docs/architecture/files-and-storage.md
upload_intent.status,scan_pending,available,finalization commits,authorization recheck passes; evidence identity + receipt atomic; reserved for the v0.3 resumable protocol; not written in v0.1 (supabase/migrations/0015 permits the value; no code writes it),docs/architecture/files-and-storage.md
upload_intent.status,scan_pending,scan_blocked,inspection fails or errors,fail closed; restricted quarantine; reserved for the v0.3 resumable protocol; not written in v0.1 (supabase/migrations/0015 permits the value; no code writes it),docs/architecture/files-and-storage.md
upload_intent.status,staged,orphaned_for_purge,authorization recheck fails,inaccessible; purged within 24h (INV-047); reserved for the v0.3 resumable protocol; not written in v0.1 (supabase/migrations/0015 permits the value; no code writes it),docs/architecture/files-and-storage.md
upload_intent.status,integrity_verified,orphaned_for_purge,authorization recheck fails,inaccessible; purged within 24h (INV-047); reserved for the v0.3 resumable protocol; not written in v0.1 (supabase/migrations/0015 permits the value; no code writes it),docs/architecture/files-and-storage.md
upload_intent.status,scan_pending,orphaned_for_purge,authorization recheck fails,inaccessible; purged within 24h (INV-047); reserved for the v0.3 resumable protocol; not written in v0.1 (supabase/migrations/0015 permits the value; no code writes it),docs/architecture/files-and-storage.md
upload_intent.status,intent_authorized,available,finalization commits,finalize verifies content identity against the authorized hash and size; the object exists in the bucket at that size; authorization is rechecked inside the row lock; evidence row and receipt commit atomically (INV-047),docs/architecture/files-and-storage.md
upload_intent.status,intent_authorized,scan_blocked,inspection fails or errors,content inspection rejects the bytes; no evidence row is ever created (INV-046); blocked_at starts the retention window,docs/architecture/files-and-storage.md
upload_intent.status,intent_authorized,orphaned_for_purge,authorization recheck fails,authorization was revoked while bytes were in flight; the bytes are marked for purge. Retention of the local original is a NATIVE-CLIENT guarantee (INV-013) and a v0.3 obligation — on the v0.1 PWA path the loss is surfaced and never silent instead (INV-081; ADR-007 Cost 2),docs/architecture/files-and-storage.md
upload_intent.status,intent_authorized,expired,intent expiry,quota reservation released,docs/architecture/files-and-storage.md
mobile_pending_original,not_sent,sending,create/replay upload intent,current server authorization at start,docs/domain/execution-and-evidence.md
mobile_pending_original,sending,awaiting_receipt,bytes sent,whole-file upload without transformation,docs/domain/execution-and-evidence.md
mobile_pending_original,awaiting_receipt,server_confirmed,available receipt persisted,receipt content identity/size/hash match; this is the first point at which any screen may report the photo as recorded (INV-081) — the cleanup-eligibility half of INV-013 is native-only and a v0.3 obligation,docs/domain/execution-and-evidence.md
mobile_pending_original,awaiting_receipt,failed,no final receipt or integrity error,NATIVE CLIENT: original retained and retry offered (INV-013/INV-014). v0.1 PWA: no durable original is claimed — the user is told plainly that the photo was not saved and must be retaken or kept by them; a silent loss fails this transition (INV-081; ADR-007 decision 6),docs/domain/execution-and-evidence.md
mobile_pending_original,sending,failed,connection/server/integrity error,NATIVE CLIENT: original retained (INV-013). v0.1 PWA: the in-memory original survives only while the page does and its loss is always surfaced (INV-081),docs/domain/execution-and-evidence.md
mobile_pending_original,failed,sending,retry same whole upload,idempotent replay of the same intent,docs/domain/execution-and-evidence.md
mobile_pending_original,not_sent,quarantined,logout/revocation/account switch,encrypted and hidden; never silent delete (INV-053); NATIVE CLIENT ONLY (ADR-007 decision 6),docs/domain/execution-and-evidence.md
mobile_pending_original,sending,quarantined,abort on logout/revocation,encrypted and hidden (INV-053); NATIVE CLIENT ONLY (ADR-007 decision 6),docs/domain/execution-and-evidence.md
mobile_pending_original,failed,quarantined,logout/revocation/account switch,encrypted and hidden (INV-053); NATIVE CLIENT ONLY (ADR-007 decision 6),docs/domain/execution-and-evidence.md
mobile_pending_original,awaiting_receipt,quarantined,authorization fails,encrypted and hidden (INV-053); NATIVE CLIENT ONLY (ADR-007 decision 6),docs/domain/execution-and-evidence.md
mobile_pending_original,quarantined,not_sent,same identity reauthorized,same subject and same workspace only; NATIVE CLIENT ONLY (ADR-007 decision 6),docs/domain/execution-and-evidence.md
mobile_pending_original,quarantined,discarded,explicit warned deletion,audit-safe non-content metadata retained; NATIVE CLIENT ONLY (ADR-007 decision 6),docs/domain/execution-and-evidence.md
mobile_pending_original,quarantined,expired_purged,seven-day expiry after warning,fixed quarantine bound; NATIVE CLIENT ONLY (ADR-007 decision 6),docs/architecture/files-and-storage.md
mobile_pending_original,not_sent,discarded,explicit user discard,warned deletion,docs/domain/execution-and-evidence.md
mobile_pending_original,failed,discarded,explicit user discard,warned deletion,docs/domain/execution-and-evidence.md
work_stage.status,open,closed,stage closure command,stage_closures.close capability; can_close_stage(s) holds — every applicable occurrence with blocking_scope blocks_stage_closure or blocks_both is satisfied (INV-061); refusal returns the blocked_reason objects and never a generic error; a concealed stage emits a draft statutory act,docs/decisions/ADR-005-readiness-gate-and-hidden-works.md
work_stage.status,open,closed_without_evidence,closure-without-evidence command,v0.2 — THERE IS NO BYPASS IN v0.1 (ADR-006 decision 4); the v0.1 escape is the attributed waiver/accept_risk exception. stage_closures.bypass capability; claimed authority plus a mandatory reason code and free text — the reason-code vocabulary is still not enumerated (state-catalog.csv unevidenced_closure.reason_code NOT_ENUMERATED) and ADR-005 decision 5 requires it enumerated before this command ships; the exact unmet occurrence set is frozen into the fact and never recomputed (INV-064); the occurrences remain unsatisfied,docs/decisions/ADR-005-readiness-gate-and-hidden-works.md
unevidenced_closure.status,open,cleared,internal clearance command (projection recomputation — the command APPENDS a clearance row and writes no status),v0.2 with the bypass and with internal review (ADR-006 decisions 4 and 5). unevidenced_closures.clear capability; the reviewer is not the bypassing actor (INV-069); substitute evidence named; append-only — the bypass row is never deleted and still prints in the package manifest appendix,docs/decisions/ADR-005-readiness-gate-and-hidden-works.md
requirement_notice.status,sent,period_elapsed,server time reaches earliest_proceed_at (projection recomputation — no command and no write),v0.2 — the notice event does not exist in v0.1 at all (ADR-006 decision 5). earliest_proceed_at is server-computed from sent_at plus required_notice and is never client-supplied (INV-068); the configured duration is a workspace setting and is not the five-working-day rule until the v0.2 working-day calendar ships,docs/decisions/ADR-005-readiness-gate-and-hidden-works.md
requirement_notice.status,sent,attended,attendance recorded with an accepting evidence decision (projection recomputation — the command APPENDS a notice_attendance_outcomes row),v0.2 (ADR-006 decision 5). Decision by the occurrence's approver_role; a reviewer may not decide their own capture (INV-069),docs/decisions/ADR-005-readiness-gate-and-hidden-works.md
requirement_notice.status,period_elapsed,attended,late attendance recorded with an accepting evidence decision (projection recomputation — the command APPENDS a notice_attendance_outcomes row),v0.2 (ADR-006 decision 5). Decision by the occurrence's approver_role (INV-069),docs/decisions/ADR-005-readiness-gate-and-hidden-works.md
requirement_notice.status,period_elapsed,not_attended,non-attendance recorded after the period (projection recomputation — the command APPENDS a notice_attendance_outcomes row),v0.2 (ADR-006 decision 5). Append-only outcome; releases the witness blocking scope and stands as evidence of process in favour of the performer (INV-068),docs/decisions/ADR-005-readiness-gate-and-hidden-works.md
statutory_act_version.status,draft,frozen,the stage closure pins the act version in v0.1 and the package freeze pins it additionally from v0.2 (ADR-006 decision 4.5),statutory_acts.compose capability; assembled only from already-recorded facts with no free-text quantity field; every normative string carries its verification tag and source or is unrenderable (INV-073); three typed signatory slots per п. 8.4.3.5; and nothing is printed for the технагляд's кваліфікаційний сертифікат because whether Додаток В has a слот for its серія and номер is not established,docs/product/hidden-works-content-rules.md
package_version.status,draft,frozen,freeze command,v0.2 with packages (ADR-006 decision 5) — v0.1 ships can_close_stage and not is_package_eligible. All sources validated; segment approval coverage (INV-034); every claim segment package-eligible (INV-062) — freeze REFUSES ineligible scope with a per-segment blocked_reason list plus sums included and excluded by currency and never silently filters; an ineligible segment is a named refusal distinct from a stale-source conflict,docs/decisions/ADR-005-readiness-gate-and-hidden-works.md
package_scope_head.head_state,current_prepared,active_for_review,submission via head transaction,v0.2 with packages (ADR-006 decision 5). Epoch incremented; grants scoped to the exact version,docs/domain/packages-and-acceptance.md
package_scope_head.head_state,active_for_review,current_prepared,successor installed by head advance,v0.2 with packages (ADR-006 decision 5). Old grants/sessions revoked; unaccepted allocations released (INV-026/INV-041),docs/domain/packages-and-acceptance.md
claim_segment.lineage,pending_leaf,partitioned,partial decision partition,v0.2 with claim segments and per-segment partial acceptance (ADR-006 decision 5). One transaction; children reconcile; coverage propagates (INV-004/INV-006),docs/domain/packages-and-acceptance.md
external_grant.status,active,revoked,revoke or reissue command,all sessions invalidated (INV-009),docs/architecture/tenancy-and-security.md
external_grant.status,active,expired,7-day expiry or package supersession,fail closed,docs/architecture/tenancy-and-security.md
external_grant.status,active,superseded,reissue lineage,new grant references replaced grant,docs/architecture/tenancy-and-security.md
external_session.status,active,expired,30m idle or 12h absolute TTL,server-side verifier check,docs/architecture/tenancy-and-security.md
external_session.status,active,revoked,grant revocation or epoch advance,checked under the same review epoch as decisions (INV-041),docs/architecture/tenancy-and-security.md
job.status,queued,running,worker claims lease,FOR UPDATE SKIP LOCKED claim; fence issued (INV-050),docs/architecture/jobs-events-and-audit.md
job.status,running,succeeded,attempt succeeds,idempotent effect identity satisfied (INV-049),docs/architecture/jobs-events-and-audit.md
job.status,running,retry_wait,retryable failure,backed-off available_at stored,docs/architecture/jobs-events-and-audit.md
job.status,retry_wait,queued,available_at reached,retry policy version pinned,docs/architecture/jobs-events-and-audit.md
job.status,running,dead_letter,permanent failure or exhaustion,append dead letter; alert; explicit replay only,docs/architecture/jobs-events-and-audit.md
job.status,retry_wait,dead_letter,max attempts or age exceeded,append dead letter,docs/architecture/jobs-events-and-audit.md
job.status,queued,cancelled,authorized cancel,only where the domain contract defines safe cancellation,docs/architecture/jobs-events-and-audit.md
notification.status,created,seen,recipient views,recipient identity only,docs/architecture/jobs-events-and-audit.md
notification.status,seen,dismissed,recipient dismisses,recipient identity only,docs/architecture/jobs-events-and-audit.md
message_delivery.status,requested,provider_accepted,provider accepts request,normalized provider result,docs/architecture/jobs-events-and-audit.md
message_delivery.status,requested,failed,provider failure classified,bounded error class,docs/architecture/jobs-events-and-audit.md
message_delivery.status,requested,ambiguous,timeout/lost response,reconcile via provider idempotency before any new generation,docs/architecture/jobs-events-and-audit.md
