capability_id,plane,description,related_operations,milestone,requires
package_templates.manage,workspace,Draft and publish immutable package template versions; NO v0.1 operation authors a package_template_version — the entity is schema-only for v0.1 (the previously listed package_versions.create is governed by packages.compile and was never this capability's operation),none,v0.2,
audit.view,workspace,Read audit trail; default capability of the auditor governance role,none,v0.1-M1,
project.admin,project,"Manage project access grants and responsibility assignments. CORRECTED 2026-08-06 from v0.2: project_access.grant and project_responsibilities.assign are v0.1-M1 rows of scope-v0.1.csv both tables are deployed (migration 0010) INV-019 makes the creator's grant part of project creation and the v0.1-M3 waiver/accept_risk exception requires an AUTHORISED actor which is a permission question and not a convention. Two v0.1-M1 operations governed by a v0.2 capability was an authorisation hole and not a scope statement ADDED 2026-08-18: project_parties.create — who the project's participants are (customer, supervision, designer, performer) is the project's own configuration, the same class of fact as who holds which grant, and pp_write (0010) already required this capability; the route matches the policy. ADDED 2026-08-29: telegram_binding_intents.create issues a short-lived group-binding command for the draft project's unbound field channel, so it is the same project configuration authority.",project_access.grant project_responsibilities.assign project_parties.create project_field_channel.configure projects.activate telegram_binding_intents.create,v0.1-M1,
project.view,project,"See the project and its non-restricted contents; this is also how the foreman reads the occurrence set for an assignment before work starts (ADR-006 step 2). A member identity-link intent is self-owned but its project context must be visible to that current member; this does not grant project administration.",projects.list assignments.list requirement_occurrences.list evidence.list project_field_channel.get telegram_member_link_intents.create,v0.1-M1,
contracts.edit,project,Create contracts and edit contract drafts and type a baseline BY HAND — ADR-006 decision 2 makes manual work-line entry a first-class v0.1 capability and it is not a stopgap for a missing importer. work_items.remove is the only DELETE in the v0.1 route set and is permitted only while the version is a draft because a published version is immutable (INV-015). Publication refuses a version with no bound rule-version set (INV-083),contracts.create contract_versions.create contract_versions.get work_items.create work_items.update work_items.remove contract_versions.publish,v0.1-M1,
imports.manage,project,Create import batches add files run validation read a batch and record resolutions; FROZEN by ADR-006 decision 6 — the operations stay in the code and keep working but no extension of them is v0.1 work,import_batches.create import_files.add import_batches.validate import_batches.get import_resolutions.create,v0.1-M1,
imports.publish,project,Explicitly publish a validated import into an immutable contract version; FROZEN by ADR-006 decision 6. CORRECTED 2026-08-06: this row recorded that it was the ONLY catalogued route to a published baseline and that the manual publish operation ADR-006 decision 2 requires had no row anywhere and had to be added before M1 could be planned. That is no longer true and was a planning blocker asserted as a present fact — contract_versions.create work_items.create/update/remove and contract_versions.publish are all v0.1-M1 rows of scope-v0.1.csv and are governed by contracts.edit. Both routes refuse a baseline with no bound rule-version set (INV-083),import_batches.publish,v0.1-M1,
assignments.manage,project,Create and maintain work assignments and the work stages beneath them; assignment creation materialises the requirement occurrences from the bound rule versions before work starts; publishing an assignment card sends the exact stored assignment into the project's locked Telegram channel,assignments.create work_stages.create assignment_communication_cards.publish,v0.1-M2,
progress.record,project,Record root progress measurements,progress.record,v0.1-M2,
progress.adjust,project,Record signed progress adjustments within reservation bounds (INV-024/INV-025),progress.adjust,v0.1-M2,
evidence.record,project,Create upload intents finalize evidence captures and re-read a receipt,upload_intents.create upload_intents.finalize upload_intents.get,v0.1-M2,
evidence.custody,project,Manage derivatives corrections and custodial evidence duties; it writes evidence_requirement_links which is outside the ADR-006 v0.1 table set — v0.1 directs one original at one occurrence through the upload intent instead,evidence_links.create,v0.2,
requirements.assign,project,Materialise requirement occurrences from bound rule versions AT ASSIGNMENT CREATION and run the uncovered-line dry run; the dry run must disclose every uncovered line and the command fails closed without it (INV-072) — silent non-coverage means there is no gate. Operations corrected 2026-08-06: requirement_occurrences.create and .bulk_instantiate are v0.2 rows of scope-v0.2.csv and a v0.1 capability may not name them — the only way an occurrence exists in v0.1 is materialisation through assignments.create (assignments.manage) and a hand-made obligation is also a hand-removed one. Location-subtree bulk instantiation leaves v0.1 with locations (ADR-006 decision 4.2) and the dry run survives without it over a published contract version,requirement_occurrences.dry_run,v0.1-M2,project.view
requirement_exceptions.decide,project,Record waiver not-applicable and accept-risk exception facts; not_applicable is refused for a hold occurrence by the command itself and not by convention (INV-063). With no bypass in v0.1 the attributed waiver/accept_risk is the ONLY v0.1 escape (ADR-006 decision 4),requirement_exceptions.create,v0.1-M3,project.view
internal_review.decide,project,Submit internal review decisions on immutable target sets; a verifier may not decide a target set containing their own capture or their own recorded progress (INV-069),internal_reviews.decide,v0.2,
evidence_decisions.decide,project,Record the accepting or returning evidence decision on one requirement occurrence in the role named by its approver_role; a hold occurrence releases only on an accepting decision with no current return (INV-061) and the decider may never be the capturer (INV-069). While M5 is open the rule publication command enforces that a hold names an INTERNAL approver role (INV-085),evidence_decisions.create,v0.1-M3,project.view
requirement_notices.send,project,Record a witness notification event and its attendance or recorded non-attendance outcome; earliest_proceed_at is server-computed and never client-supplied (INV-068),requirement_notices.create notice_attendance.record,v0.2,
stage_closures.close,project,Record the closure of a work stage; refused unless can_close_stage holds and the refusal names the requirement the missing evidence the owed role and the money (INV-061). This is ADR-006 step 3 and the only half of the ADR-005 gate that ships in v0.1 — is_package_eligible arrives with packages in v0.2. Closing a concealed stage pins the statutory act version (decision 4.5; INV-084),stage_closures.create,v0.1-M3,project.view
stage_closures.bypass,project,Record a closure without evidence under a claimed authority with a mandatory reason; ADR-006 decision 4 keeps it out of v0.1 because its whole price is package ineligibility and v0.1 has no packages to make ineligible — the v0.1 escape is the attributed waiver/accept_risk exception instead; makes every covering claim segment ineligible under code CLOSED_WITHOUT_ACT and prints as a named appendix in the frozen manifest (INV-064). Its reason-code vocabulary is still unenumerated (state-catalog.csv unevidenced_closure.reason_code) and ADR-005 decision 5 requires it enumerated before this command ships,unevidenced_closures.create,v0.2,
unevidenced_closures.clear,project,Append an internal clearance naming substitute evidence to restore package eligibility; never held by the bypassing actor and never deletes the bypass fact (INV-064/INV-069),unevidenced_closures.clear,v0.2,
readiness.view,project,Read the readiness projection the blocked_reason objects and the blocked-money sum with blocked value by currency deduplicated per assignment (INV-070); this is also the whole of the ADR-006 step 6 blocked-money read — a sum over manually entered lines broken down by blocked_reason code within one baseline and never across currencies. blocked_value.get is the v0.1-M6 row of that read and this capability governs it from M3,readiness.get blocked_reasons.get blocked_value.get,v0.1-M3,project.view
statutory_acts.compose,project,"Compose freeze read and render a statutory act by the form of Додаток В from already-recorded facts only; no render exposes a free-text quantity field and the composer refuses a quantity that is not an existing recorded entry (INV-073). v0.1 renders form В only — Додаток Г is v0.2. In v0.1 the freeze is pinned by the stage closure rather than by a package version (ADR-006 decision 4.5; INV-084) and the package version pins it additionally from v0.2. statutory_acts.render was added here 2026-08-06: it is a v0.1-M4 member-plane row of scope-v0.1.csv and was governed by no capability at all ACCEPTED COUPLING, RECORDED 2026-08-18 RATHER THAN SPLIT (owner decision). This one capability_id governs four operations of two kinds: statutory_acts.compose and statutory_act_versions.freeze are POST commands, statutory_acts.get and statutory_acts.render are GET queries. So a member granted read access to an act can also compose and freeze one — read implies write, which is a genuine authorization defect and is not pretended otherwise here. It is not split because in v0.1 NO persona needs read-only act access: the capability sits on pto_engineer alone, and the external reviewer reaches acts through the external plane and a bearer grant, not through this capability. Splitting costs a migration (the capability vocabulary is pinned by project_access_grants_capability_check), four route changes, the preset mapping and its tests — paid for a reader who does not exist yet. The successor is a statutory_acts.view capability for the two GETs, and it should land WITH the first persona that needs to read an act without being able to write one.",statutory_acts.compose statutory_act_versions.freeze statutory_acts.get statutory_acts.render,v0.1-M4,project.view
packages.compile,project,Create packages draft versions and freeze immutable snapshots and read one package version; freeze refuses ineligible scope with a per-segment reason list instead of filtering it out (INV-062),packages.create package_versions.create package_versions.freeze package_versions.get packages.head_advance packages.corrected_successor,v0.2,
packages.submit,project,Issue and revoke the external access grant of ADR-006 step 5. Operations corrected 2026-08-06: package_submissions.create and external_grants.issue are v0.2 rows of scope-v0.2.csv and a v0.1 capability may not name them — in v0.1 only the requirement-occurrence arc of INV-074 exists and occurrence_grants.issue and external_grants.revoke_reissue are its operations. The capability name is package-shaped and is left unchanged here because renaming it is an API change owned by technical/openapi/scope-v0.1.csv,occurrence_grants.issue external_grants.revoke_reissue,v0.1-M5,project.view
communication.reply,project,Reserved for a future reply command through the project's locked Telegram field channel; configuration activation and channel reads retain their existing admin/view gates,none,v0.1-M6,project.view
acceptance.view,project,Read acceptance projection and decision history. CORRECTED 2026-08-06: the previous text said the projection is built in the v0.1-M5 schema slice and only its operation ships later — acceptance_projection and acceptance.get are both v0.2 (ADR-006 decision 5) and no part of it is built in v0.1,acceptance.get,v0.2,
var.view,project,Read value-at-risk projection by currency and state; the whole seven-state projection is v0.2 (ADR-006 decision 5) and v0.1-M6 reads a sum and a cause instead,value_at_risk.get,v0.2,
external.view_scope,external,"View exactly the granted scope — one package version or one requirement occurrence and never both (INV-074). Operations corrected 2026-08-06: external.scope is a v0.2 row of scope-v0.2.csv and belongs to the package-version arc; in v0.1 only external.occurrence_scope exists. OPERATIONS EXTENDED 2026-08-22 (Plan D slice D1, Task 4): external.evidence_bytes joins this capability. It serves the bytes of an evidence object whose id external.occurrence_scope has already disclosed to the same session, so it adds no identifier and no navigation — only the file behind a row the grant already shows. A THIRD external capability was considered and is not available: migration 0049's external_access_grants_permissions_check pins the permissions jsonb to EXACTLY the two keys external.view_scope and external.decide_evidence (it subtracts both and requires the remainder to be empty), so a new external capability id is a migration and a contract change, not a CSV edit. Coupling a read of the bytes to a read of the scope is also the correct grouping on its own terms: a grant that may see the requirement and the photo's hash but not the photo cannot complete the acceptance walk it exists for, and no persona in v0.1 needs that split.",external.occurrence_scope external.evidence_bytes,v0.1-M5,
external.decide_commercial,external,Submit commercial decisions for granted requirement plus exact segments; denied for observers (INV-031); governs value-at-risk buckets and never releases an evidence block (INV-075),external.decisions_submit,v0.2,
external.decide_evidence,external,Submit evidence decisions for granted requirement plus exact occurrence targets; an occurrence-scoped grant lets an external технагляд decide a hold before any package version exists and governs eligibility rather than money (INV-075). Operations corrected 2026-08-06: external.decisions_submit is a v0.2 row of scope-v0.2.csv and belongs to the package-version arc; in v0.1 only external.occurrence_decision_submit exists,external.occurrence_decision_submit,v0.1-M5,
service.upload_finalize,service,Transition staged uploads after integrity authorization and scan checks,upload_intents.finalize,v0.1-M2,
service.artifact_render,service,Read one frozen manifest and insert an immutable artifact identity. CORRECTED 2026-08-06 from v0.1-M4: this row recorded the act's download route as a gap and that gap is closed — statutory_acts.render is a v0.1-M4 MEMBER-plane query of scope-v0.1.csv and is governed by statutory_acts.compose. package_artifacts and package_artifacts.download are v0.2 so this service-plane capability governs no v0.1 operation and is v0.2 with them; v0.1 has no service-plane artifact operation and the act's deterministic render is the only artifact surface it has,package_artifacts.download,v0.2,
service.outbox_dispatch,service,Claim outbox records and create deterministic jobs,none,v0.0,
service.projection_rebuild,service,Read authoritative facts and replace rebuildable projection rows; in v0.1 the rebuildable set is readiness_projection and blocked_reasons — the seven-state value-at-risk projection moves to v0.2 (ADR-006 decision 5),readiness.get blocked_reasons.get,v0.1-M3,
service.orphan_purge,service,Purge orphaned staging objects within 24 hours,none,v0.1-M2,
service.notification_deliver,service,Create notifications and record channel delivery results,none,v0.0,
service.telegram_ingress,service,Verify a provider webhook secret and durably enqueue a Telegram update before any tenant resolution; duplicate provider updates receive the same empty acknowledgement and no callback payload selects tenant scope,telegram_webhook.accept,v0.1-M6,
