rule_id,priority,command_class,organization_states,subscription_states,project_states,contract_states,work_phase,decision,lease_effect,test_ids,notes
CA-011,40,new_field_execution,trial|active,pilot|trialing|active,active,active,assigned|accepted|in_progress,allow,issue_bounded,T-ASSIGNMENT-BUNDLE-001|T-COMMAND-AVAILABILITY-001,Requires active exact membership assignment rule reference and entitlement snapshots.
CA-012,40,normal_project_mutation,trial|active,pilot|trialing|active,active,active,*,allow,invalidate_if_parent_version_changes,T-COMMAND-AVAILABILITY-001|T-LEASE-PARENT-001,Create update assignment rule reference and import commands require an active commercial baseline.
CA-013,40,period_close_package,trial|active,pilot|trialing|active,active,active,*,allow,none,T-PERIOD-CYCLE-001|T-COMMAND-AVAILABILITY-001,Close and package consume exact preflight and terms snapshots and all hard blockers.
CA-014,40,commercial_correction,trial|active|suspended|closing,pilot|trialing|active|grace|suspended|cancelled|export_only,active|paused|completed,active|completed|terminated,*,allow,none,T-ACCEPTANCE-DOWNSTREAM-001|T-COMMAND-AVAILABILITY-001,Only append-only correction reversal reconciliation or recovery commands are allowed outside normal active state.
CA-015,45,organization_settings_mutation,trial|active,pilot|trialing|active|grace,*,*,*,allow,invalidate_if_auth_context_changes,T-COMMAND-AVAILABILITY-001,Does not include lifecycle ownership billing or security commands which use dedicated classes.
CA-016,50,period_reopen,trial|active,pilot|trialing|active,active,active,closed,allow,none,T-PERIOD-CYCLE-001|T-COMMAND-AVAILABILITY-001,Also requires no submission external decision acceptance receivable or payment dependency.
CA-017,50,archive_or_complete,trial|active,pilot|trialing|active,draft|active|paused|completed,draft|active|completed|terminated,*,allow,invalidate,T-LEASE-PARENT-001|T-CONTRACT-LIFECYCLE-001,Impact preview and exact dependency guards decide the particular lifecycle command.
CA-018,40,project_communication_reply,trial|active,pilot|trialing|active,active,*,*,allow,none,T-TG-005|T-COMMAND-AVAILABILITY-001,Requires current project.view plus communication.reply and the same active healthy locked Telegram binding; a delivery_unknown manual retry additionally requires acknowledgePossibleDuplicate=true because provider acceptance may already have happened.
CA-901,900,read_scoped,*,*,*,*,*,deny,none,T-COMMAND-AVAILABILITY-001,Default deny after higher-priority allow rules.
CA-902,900,export,*,*,*,*,*,deny,none,T-COMMAND-AVAILABILITY-001,Default deny after higher-priority allow rules.
CA-903,900,payment_recovery,*,*,*,*,*,deny,none,T-COMMAND-AVAILABILITY-001,Default deny after higher-priority allow rules.
CA-904,900,support_security_recovery,*,*,*,*,*,deny,none,T-COMMAND-AVAILABILITY-001,Default deny after higher-priority allow rules.
CA-905,900,member_security_change,*,*,*,*,*,deny,invalidate,T-COMMAND-AVAILABILITY-001,Default deny after higher-priority allow rules.
CA-906,900,process_already_received,*,*,*,*,*,deny,none,T-COMMAND-AVAILABILITY-001,Default deny after higher-priority allow rules.
CA-907,900,review_existing,*,*,*,*,*,deny,none,T-COMMAND-AVAILABILITY-001,Default deny after higher-priority allow rules.
CA-908,900,first_seen_offline_capture,*,*,*,*,*,deny,invalidate,T-COMMAND-AVAILABILITY-001,Any context not explicitly safe is rejected rather than trusting device time.
CA-909,900,new_field_execution,*,*,*,*,*,deny,invalidate,T-COMMAND-AVAILABILITY-001,No new field authority in paused suspended closing completed terminated or export-only contexts.
CA-910,900,normal_project_mutation,*,*,*,*,*,deny,invalidate,T-COMMAND-AVAILABILITY-001,Default deny for new consumption.
CA-911,900,period_close_package,*,*,*,*,*,deny,none,T-COMMAND-AVAILABILITY-001,Default deny for commercial snapshot creation.
CA-912,900,commercial_correction,*,*,*,*,*,deny,none,T-COMMAND-AVAILABILITY-001,Default deny after higher-priority correction rule.
CA-913,900,organization_settings_mutation,*,*,*,*,*,deny,none,T-COMMAND-AVAILABILITY-001,Default deny after higher-priority allow rule.
CA-914,900,period_reopen,*,*,*,*,*,deny,none,T-COMMAND-AVAILABILITY-001,Default deny after eligible reopen rule.
CA-915,900,archive_or_complete,*,*,*,*,*,deny,invalidate,T-COMMAND-AVAILABILITY-001,Default deny after lifecycle guard rule.
CA-916,900,project_communication_reply,*,*,*,*,*,deny,none,T-TG-005|T-COMMAND-AVAILABILITY-001,Default deny prevents replies and manual retries when the project or its one locked Telegram channel is not active and healthy.
