domain,from_state,command,to_state,actor,guards,side_effects,reversal,error_code
import_job,running,cancel,cancelled,authorized_actor,cancellation_safe_lease_fenced,cancel_receipt,new_job,IMPORT_JOB_CONFLICT
import_job,retry_wait,cancel,cancelled,authorized_actor,cancellation_safe,cancel_receipt,new_job,IMPORT_JOB_CONFLICT
upload_intent,authorized,seal,sealed,authorized_actor,not_expired_exact_purpose_key_parts_type_size_and_sha256,verification_job_and_immutable_completion_receipt,new_intent,UPLOAD_CHECKSUM_MISMATCH
upload_intent,authorized,expire,expired,system,ttl_elapsed,grant_invalidated,new_intent,UPLOAD_GRANT_EXPIRED
upload_intent,authorized,cancel,cancelled,authorized_actor,no_sealed_completion,grant_invalidated_and_audit,new_intent,UPLOAD_INTENT_CONFLICT
rule_version,draft,publish,published,pto_or_authorized_manager,impact_preview_fresh_and_acknowledged,requirements_re_evaluation_queued,new_version,RULE_PUBLISH_CONFLICT
rule_version,published,retire,retired,pto_or_authorized_manager,replacement_or_no_assignments,new_assignments_blocked,new_version,RULE_PUBLISH_CONFLICT
mobile_capture,local_draft,enqueue,local_queued,device,local_validation_passed,durable_outbox_commit,new_local_draft,SYNC_LOCAL_STORAGE_FAILED
mobile_capture,local_queued,begin_upload,uploading,device,auth_scope_network,resumable_parts,new_local_queue_attempt,UPLOAD_UNAVAILABLE
mobile_capture,uploading,confirm_server,server_confirmed,device,server_receipt_matches_operation,local_receipt_persisted,new_revision,SYNC_CONFLICT
mobile_capture,uploading,terminal_fail,failed_terminal,device,non_retryable_or_attempt_policy,preserve_local_record_and_recovery,new_revision,SYNC_TERMINAL
capture_session,server_received,start_scan,scanning,worker,manifest_committed,media_scan_attempt_created,terminal_fail,SCAN_UNAVAILABLE
capture_session,scanning,scan_clean,pending_review,worker,all_required_objects_clean,review_task_and_receipt,quarantine,SCAN_FAILED
capture_session,scanning,quarantine,quarantined,worker,unsafe_or_suspicious_object,block_review_and_package,rescan,SCAN_QUARANTINED
capture_session,quarantined,rescan,scanning,security_worker,new_clean_source_or_scanner_release,new_scan_attempt,terminal_fail,SCAN_QUARANTINED
capture_session,scanning,terminal_fail,terminal_failed,worker,unrecoverable_pipeline_error,notify_creator_replacement,new_revision,SCAN_FAILED
capture_session,pending_review,return,returned,internal_reviewer,sod_reason_version_match,notify_creator_new_revision,new_revision,REVIEW_CONFLICT
capture_session,pending_review,approve,approved,internal_reviewer,sod_requirements_version_match,readiness_recompute,new_review_decision,REVIEW_CONFLICT
capture_session,pending_review,quarantine,quarantined,security_worker,new_threat_intelligence_or_rescan_finding,block_review_and_package,rescan,SCAN_QUARANTINED
requirement,missing,waive,waived,authorized_manager,recent_auth_reason_expiry_scope,manifest_disclosure,expire_waiver,READINESS_OVERRIDE_DENIED
requirement,waived,expire_waiver,expired,system,expiry_elapsed,readiness_recompute,new_waiver,WAIVER_EXPIRED
requirement,pending_review,mark_met,met,readiness_engine,approved_inputs_version_match,readiness_recompute,new_requirement_evaluation,READINESS_VERSION_CONFLICT
requirement,pending_review,mark_failed,failed,readiness_engine,returned_or_failed_inputs,remediation_task,new_requirement_evaluation,READINESS_VERSION_CONFLICT
variation,draft,mark_evidence_ready,evidence_ready,commercial_or_pm,required_internal_evidence,internal_review_task,new_variation_version,VARIATION_BLOCKED
variation,evidence_ready,approve_internal,internally_approved,authorized_internal_reviewer,sod_and_value_scope,issue_enabled,new_version,VARIATION_BLOCKED
variation,internally_approved,issue,issued,commercial_or_pm,exact_version_recipient_preview,submission_receipt,new_version,VARIATION_BLOCKED
variation,issued,acknowledge,acknowledged,external_or_authorized_actor,exact_version_assurance,receipt_recorded,new_decision,EXTERNAL_VERSION_CONFLICT
variation,acknowledged,approve,approved,external_or_authorized_actor,exact_version_authority,contract_incorporation_task,new_decision,EXTERNAL_VERSION_CONFLICT
variation,approved,incorporate,incorporated,commercial_manager,new_contract_version_published,lineage_and_value_updated,new_variation,VERSION_CONFLICT
variation,issued,return,draft,commercial_or_external_authority,exact_version_reason,new_editable_version_created,mark_evidence_ready,VARIATION_BLOCKED
variation,issued,reject,rejected,authorized_external_or_recorder,exact_version_reason,immutable_rejection_receipt,new_variation,EXTERNAL_VERSION_CONFLICT
variation,issued,withdraw,withdrawn,commercial_manager,reason_and_not_approved,withdrawal_receipt,new_variation,VARIATION_BLOCKED
variation,acknowledged,reject,rejected,authorized_external_or_recorder,exact_version_reason,immutable_rejection_receipt,new_variation,EXTERNAL_VERSION_CONFLICT
variation,acknowledged,withdraw,withdrawn,commercial_manager,reason_and_not_approved,withdrawal_receipt,new_variation,VARIATION_BLOCKED
variation,acknowledged,dispute,disputed,authorized_external_or_commercial,exact_version_basis,dispute_task_and_receipt,resolve_dispute,VARIATION_BLOCKED
variation,disputed,resolve_dispute,acknowledged,commercial_manager,exact_version_resolution,new_immutable_resolution_decision,new_variation_decision,VARIATION_BLOCKED
period,open,start_preflight,preflight,authorized_closer,one_close_lock,blocker_snapshot,cancel_preflight,PERIOD_LOCKED
period,preflight,begin_close,closing,authorized_closer,hard_gates_or_overrides,snapshot_transaction_started,cancel_close,PACKAGE_BLOCKED
period,closing,commit_close,closed,authorized_closer,package_snapshot_committed,lock_released,reopen,PACKAGE_VERSION_CONFLICT
period,closed,reopen,reopened,authorized_closer,recent_auth_reason_no_submission_no_external_decision_no_acceptance_no_receivable_no_payment,new_close_cycle_and_audit,start_preflight,PERIOD_REOPEN_DENIED
period,reopened,start_preflight,preflight,authorized_closer,one_close_lock,blocker_snapshot,cancel_preflight,PERIOD_LOCKED
period,preflight,cancel_preflight,open,authorized_closer,exact_cycle_and_no_close_transaction,close_cycle_cancelled_and_lock_released,start_preflight,PERIOD_LOCKED
period,closing,cancel_close,open,authorized_closer,no_package_snapshot_commit,close_cycle_cancelled_and_lock_released,start_preflight,PACKAGE_BLOCKED
package,draft_snapshot,start_generation,generating,authorized_user,immutable_snapshot_entitlement,job_created,new_package_version,JOB_QUEUE_UNAVAILABLE
package,generating,generation_fail,generation_failed,worker,terminal_or_retry_exhausted,error_receipt_and_recovery,retry_generation,PACKAGE_GENERATION_FAILED
package,generation_failed,retry_generation,generating,authorized_user,same_snapshot_or_explicit_new_version,new_job_attempt,new_package_version,PACKAGE_GENERATION_FAILED
package,generating,generation_success,generated,worker,artifact_hash_manifest,validation_job,new_version,PACKAGE_GENERATION_FAILED
package,generated,pass_pre_submit,ready_to_submit,worker_or_authorized_user,no_hard_blockers_artifacts_valid,submission_enabled,new_version,PACKAGE_BLOCKED
package,ready_to_submit,submit,submitted,authorized_submitter,recipient_channel_receipt_data,audit_submission,withdraw,PACKAGE_VERSION_CONFLICT
package,submitted,accept,accepted,external_reviewer,exact_version_assurance_and_server_materializes_all_accepted_lines,decision_set_and_acceptance_receipt,new_decision,EXTERNAL_VERSION_CONFLICT
package,submitted,record_aggregate_response,pending_reconciliation,authorized_recorder,exact_version_source_reference_and_actor,decision_set_and_reconciliation_task,new_package_decision_set,PACKAGE_DECISION_UNBALANCED
package,pending_reconciliation,reconcile_returned,returned,commercial_manager,complete_balanced_line_decision_set,correction_tasks_and_receipt,new_version,PACKAGE_DECISION_UNBALANCED
package,pending_reconciliation,reconcile_accepted,accepted,commercial_manager,complete_balanced_line_decision_set,acceptance_projection_and_receipt,new_decision,PACKAGE_DECISION_UNBALANCED
package,submitted,withdraw,withdrawn,authorized_submitter,withdrawal_allowed,receipt_preserved,new_version,PACKAGE_VERSION_CONFLICT
package,ready_to_submit,supersede,superseded,authorized_user,newer_version_exists,mark_noncurrent,new_version,PACKAGE_VERSION_CONFLICT
external_share,created,activate,active,authorized_submitter,recipient_scope_ttl_valid,token_delivery_allowed,revoke,EXTERNAL_SHARE_INVALID
external_share,active,challenge_otp,otp_challenged,external_reviewer,otp_required_attempt_allowed,challenge_attempt_recorded,lock,EXTERNAL_OTP_REQUIRED
external_share,otp_challenged,open,opened,external_reviewer,otp_valid_session_bound,session_created,revoke,EXTERNAL_SHARE_INVALID
external_share,active,open,opened,external_reviewer,otp_not_required_session_bound,session_created,revoke,EXTERNAL_SHARE_INVALID
external_share,opened,decide,decided,external_reviewer,scope_exact_version,append_decision_receipt,new_share,EXTERNAL_SHARE_INVALID
external_share,active,expire,expired,system,ttl_elapsed,token_invalidated,new_share,EXTERNAL_SHARE_INVALID
external_share,opened,revoke,revoked,authorized_submitter_or_security,revocation_requested,sessions_revoked,new_share,EXTERNAL_SHARE_INVALID
external_share,otp_challenged,lock,locked,system,attempt_limit_reached,security_event_and_cooldown,new_share,EXTERNAL_SHARE_LOCKED
external_share,created,revoke,revoked,authorized_submitter_or_security,revocation_requested,token_invalidated,new_share,EXTERNAL_SHARE_INVALID
external_share,active,revoke,revoked,authorized_submitter_or_security,revocation_requested,sessions_revoked,new_share,EXTERNAL_SHARE_INVALID
external_share,otp_challenged,revoke,revoked,authorized_submitter_or_security,revocation_requested,sessions_revoked,new_share,EXTERNAL_SHARE_INVALID
external_share,locked,revoke,revoked,authorized_submitter_or_security,revocation_requested,sessions_revoked,new_share,EXTERNAL_SHARE_INVALID
external_share,locked,expire,expired,system,ttl_elapsed,token_invalidated,new_share,EXTERNAL_SHARE_INVALID
external_share,locked,unlock,active,security_admin,cooldown_elapsed_identity_and_scope_reverified,new_token_and_attempt_counter,revoke,EXTERNAL_SHARE_LOCKED
receivable,draft,issue,issued,accountant,acceptance_basis_and_amount_valid,commercial_document_reference,new_receivable_adjustment,RECEIVABLE_STATE_CONFLICT
receivable,issued,become_due,due,system,due_date_reached,aging_event,new_receivable_adjustment,RECEIVABLE_STATE_CONFLICT
receivable,due,allocate_payment,part_paid,accountant,available_payment_and_outstanding,allocation_audit,new_payment_reversal,PAYMENT_ALLOCATION_EXCEEDS
receivable,overdue,allocate_payment,part_paid,accountant,available_payment_and_outstanding,allocation_audit,new_payment_reversal,PAYMENT_ALLOCATION_EXCEEDS
receivable,part_paid,allocate_payment,paid,accountant,remaining_exact,paid_event,new_payment_reversal,PAYMENT_ALLOCATION_EXCEEDS
receivable,due,mark_overdue,overdue,system,due_date_passed_with_balance,aging_alert,allocate_payment,RECEIVABLE_STATE_CONFLICT
receivable,issued,dispute,disputed,accountant_or_commercial,reason_and_basis,dispute_recorded,resolve_dispute,RECEIVABLE_STATE_CONFLICT
receivable,due,dispute,disputed,accountant_or_commercial,reason_and_basis,dispute_recorded,resolve_dispute,RECEIVABLE_STATE_CONFLICT
receivable,overdue,dispute,disputed,accountant_or_commercial,reason_and_basis,dispute_recorded,resolve_dispute,RECEIVABLE_STATE_CONFLICT
receivable,part_paid,dispute,disputed,accountant_or_commercial,reason_and_basis,dispute_recorded,resolve_dispute,RECEIVABLE_STATE_CONFLICT
receivable,disputed,resolve_dispute,due,accountant_or_commercial,resolution_and_due_basis,resolution_adjustment_and_aging,dispute,RECEIVABLE_STATE_CONFLICT
receivable,due,write_off,written_off,owner_or_commercial,recent_auth_reason_and_adjustment,writeoff_adjustment,none,RECEIVABLE_STATE_CONFLICT
receivable,overdue,write_off,written_off,owner_or_commercial,recent_auth_reason_and_adjustment,writeoff_adjustment,none,RECEIVABLE_STATE_CONFLICT
receivable,disputed,write_off,written_off,owner_or_commercial,recent_auth_reason_and_adjustment,writeoff_adjustment,none,RECEIVABLE_STATE_CONFLICT
receivable,draft,cancel,cancelled,accountant,reason_and_no_allocations,cancellation_adjustment,new_receivable,RECEIVABLE_STATE_CONFLICT
receivable,issued,cancel,cancelled,accountant,reason_and_no_allocations,cancellation_adjustment,new_receivable,RECEIVABLE_STATE_CONFLICT
receivable,issued,allocate_payment,part_paid,accountant,available_payment_and_outstanding,allocation_audit,new_payment_reversal,PAYMENT_ALLOCATION_EXCEEDS
receivable,part_paid,mark_overdue,overdue,system,due_date_passed_with_balance,aging_alert,allocate_payment,RECEIVABLE_STATE_CONFLICT
receivable,part_paid,write_off,written_off,owner_or_commercial,recent_auth_reason_and_adjustment,writeoff_adjustment,none,RECEIVABLE_STATE_CONFLICT
acceptance,pending,accept_partial,partially_accepted,authorized_recorder,exact_package_basis_and_amount,accepted_subset_recorded,new_decision,ACCEPTANCE_STATE_CONFLICT
acceptance,pending,accept,accepted,authorized_recorder,exact_package_basis_and_assurance,acceptance_receipt,new_decision,ACCEPTANCE_STATE_CONFLICT
acceptance,pending,return,returned,authorized_recorder,reason_and_exact_version,correction_task,new_package_version,ACCEPTANCE_STATE_CONFLICT
acceptance,pending,dispute,disputed,authorized_actor,reason_and_basis,dispute_task,new_decision,ACCEPTANCE_STATE_CONFLICT
subscription,pilot,activate,active,billing_operator_or_system,pilot_conversion_or_order,plan_entitlements_started,cancel,BILLING_PAYMENT_REQUIRED
subscription,trialing,activate,active,billing_operator_or_system,payment_or_credit,plan_entitlements_started,cancel,BILLING_PAYMENT_REQUIRED
subscription,active,enter_grace,grace,system,invoice_overdue,notify_owner_pay_action_and_invalidate_leases,restore,BILLING_GRACE
subscription,grace,suspend,suspended,system_or_billing,grace_expired,block_new_consumption_keep_read_export_and_invalidate_leases,restore,BILLING_SUSPENDED
subscription,suspended,restore,active,system_or_billing,payment_or_authorized_override,refresh_entitlements,enter_grace,BILLING_PAYMENT_REQUIRED
subscription,active,cancel,cancelled,owner,preview_confirmed,stop_renewal_export_timeline_and_invalidate_leases,reactivate,BILLING_PLAN_CONFLICT
subscription,cancelled,enter_export_only,export_only,system,period_end_and_policy,notify_export_deadline,reactivate,BILLING_SUSPENDED
subscription,export_only,close,closed,system,export_window_elapsed_holds_checked,organization_close_workflow,new_subscription_after_reonboarding,LEGAL_HOLD_ACTIVE
subscription,pilot,cancel,cancelled,owner,preview_confirmed,stop_pilot_renewal_preserve_export_and_invalidate_leases,reactivate,BILLING_PLAN_CONFLICT
subscription,grace,restore,active,system_or_billing,payment_or_authorized_override,refresh_entitlements,enter_grace,BILLING_PAYMENT_REQUIRED
subscription,cancelled,reactivate,active,owner,unexpired_period_preview_confirmed,renewal_restored,cancel,BILLING_PLAN_CONFLICT
subscription,export_only,reactivate,active,owner_or_billing,export_window_open_payment_and_preview_confirmed,restore_entitlements,cancel,BILLING_PLAN_CONFLICT
subscription,suspended,cancel,cancelled,owner,preview_confirmed,stop_renewal_export_timeline_and_invalidate_leases,reactivate,BILLING_PLAN_CONFLICT
subscription,grace,cancel,cancelled,owner,preview_confirmed,stop_renewal_export_timeline_and_invalidate_leases,reactivate,BILLING_PLAN_CONFLICT
subscription,trialing,cancel,cancelled,owner,preview_confirmed,stop_trial_renewal_export_timeline_and_invalidate_leases,reactivate,BILLING_PLAN_CONFLICT
saas_invoice,draft,issue,issued,billing_operator,payment_request_mode_or_approved_seller_config_and_frozen_basis,issued_record_and_delivery_receipt,credit,BILLING_INVOICE_CONFLICT
saas_invoice,issued,become_due,due,system,due_date_reached,aging_reconciliation,pay,BILLING_INVOICE_CONFLICT
saas_invoice,issued,pay,paid,billing_operator_or_reconciliation,exact_unallocated_settlement,settlement_receipt,credit,BILLING_INVOICE_CONFLICT
saas_invoice,due,pay,paid,billing_operator_or_reconciliation,exact_unallocated_settlement,settlement_receipt,credit,BILLING_INVOICE_CONFLICT
saas_invoice,due,mark_overdue,overdue,system,due_date_passed_with_balance,grace_and_owner_notification,pay,BILLING_INVOICE_CONFLICT
saas_invoice,overdue,pay,paid,billing_operator_or_reconciliation,exact_unallocated_settlement,restore_entitlements_if_clear,credit,BILLING_INVOICE_CONFLICT
saas_invoice,draft,cancel,cancelled,billing_operator,reason_and_no_settlement,cancellation_receipt,new_invoice,BILLING_INVOICE_CONFLICT
saas_invoice,issued,credit,credited,billing_operator,versioned_credit_basis,credit_document_and_reconciliation,new_invoice,BILLING_INVOICE_CONFLICT
saas_invoice,due,credit,credited,billing_operator,versioned_credit_basis,credit_document_and_reconciliation,new_invoice,BILLING_INVOICE_CONFLICT
saas_invoice,overdue,credit,credited,billing_operator,versioned_credit_basis,credit_document_and_reconciliation,new_invoice,BILLING_INVOICE_CONFLICT
saas_invoice,paid,credit,credited,billing_operator,expected_version_credit_basis_and_payment_reversal,credit_document_refund_or_carry_forward_receipt,new_invoice,BILLING_INVOICE_CONFLICT
job,queued,start,running,worker,lease_acquired,attempt_recorded,cancel,JOB_CONFLICT
job,running,retry,retry_wait,worker,retryable_error_and_attempts_left,next_attempt_scheduled,cancel,JOB_RETRY_EXHAUSTED
job,retry_wait,start,running,worker,backoff_elapsed_and_lease,attempt_recorded,cancel,JOB_CONFLICT
job,running,succeed,succeeded,worker,result_committed,completion_event,none,JOB_CONFLICT
job,running,fail_terminal,failed_terminal,worker,non_retryable_or_exhausted,error_receipt,new_job,JOB_RETRY_EXHAUSTED
job,queued,cancel,cancelled,authorized_actor,cancellation_allowed,cancel_event,new_job,JOB_CONFLICT
job,running,cancel,cancelled,authorized_actor,cancellation_allowed_lease_fenced,cancel_event,new_job,JOB_CONFLICT
job,retry_wait,cancel,cancelled,authorized_actor,cancellation_allowed,cancel_event,new_job,JOB_CONFLICT
integration,active,pause,paused,integration_admin,authorized_reason,new_deliveries_held,resume,WEBHOOK_ENDPOINT_BLOCKED
integration,paused,resume,active,integration_admin,endpoint_revalidated,queued_deliveries_released,pause,WEBHOOK_ENDPOINT_BLOCKED
integration,active,revoke,revoked,integration_admin_or_security,recent_auth,secret_invalidated_and_queue_cancelled,new_connection,WEBHOOK_ENDPOINT_BLOCKED
webhook_delivery,queued,start,sending,worker,lease_and_active_connection,attempt_recorded,retry,WEBHOOK_DELIVERY_FAILED
webhook_delivery,sending,retry,retry_wait,worker,retryable_response_and_attempts_left,backoff_scheduled,cancel,WEBHOOK_DELIVERY_FAILED
webhook_delivery,retry_wait,start,sending,worker,backoff_elapsed_and_active_connection,new_attempt,retry,WEBHOOK_DELIVERY_FAILED
webhook_delivery,sending,mark_delivered,delivered,worker,accepted_response,receipt_recorded,none,WEBHOOK_DELIVERY_FAILED
webhook_delivery,sending,fail_terminal,failed_terminal,worker,non_retryable_or_exhausted,dead_letter_and_alert,new_webhook_delivery,WEBHOOK_RETRY_EXHAUSTED
webhook_delivery,queued,cancel,cancelled,system_or_integration_admin,connection_revoked_or_authorized,cancel_receipt,new_delivery,WEBHOOK_ENDPOINT_BLOCKED
webhook_delivery,retry_wait,cancel,cancelled,system_or_integration_admin,connection_revoked_or_authorized,cancel_receipt,new_delivery,WEBHOOK_ENDPOINT_BLOCKED
notification_delivery,queued,mark_sent,sent,delivery_worker,configured_sink_accepted,sink_receipt_recorded,none,NOTIFICATION_DELIVERY_FAILED
notification_delivery,sent,mark_delivered,delivered,delivery_worker,in_app_commit_or_approved_provider_confirmation,delivery_timestamp,none,NOTIFICATION_DELIVERY_FAILED
notification_delivery,sent,mark_bounced,bounced,delivery_worker,permanent_recipient_failure,preference_or_identity_review,new_delivery,NOTIFICATION_DELIVERY_FAILED
notification_delivery,queued,fail,failed,delivery_worker,retryable_or_terminal_failure,error_receipt_and_retry_policy,retry,NOTIFICATION_DELIVERY_FAILED
notification_delivery,queued,cancel,cancelled,system_or_authorized_actor,cancellation_allowed,cancel_receipt,new_delivery,NOTIFICATION_DELIVERY_FAILED
notification_delivery,failed,retry,queued,delivery_worker,retry_budget_available_and_sink_enabled,new_delivery_attempt,cancel,NOTIFICATION_DELIVERY_FAILED
export_job,requested,authorize,authorized,owner_or_admin,recent_auth_scope,async_job_created,cancel,EXPORT_AUTH_REQUIRED
export_job,authorized,start_collecting,collecting,worker,job_lease,scoped_snapshot,cancel,EXPORT_FAILED
export_job,collecting,start_packaging,packaging,worker,all_sources_collected,manifest_and_archive,cancel,EXPORT_FAILED
export_job,packaging,mark_ready,ready,worker,hash_and_scope_checks,short_lived_download,expire,EXPORT_FAILED
export_job,ready,expire,expired,system,ttl_elapsed,storage_cleanup,new_export,EXPORT_EXPIRED
export_job,collecting,fail,failed,worker,terminal_export_error,error_receipt,new_export,EXPORT_FAILED
deletion_job,requested,start_cooling_off,cooling_off,owner_or_system,recent_auth_and_export_offered,closure_notices,cancel,DELETION_BLOCKED
deletion_job,cooling_off,block_by_hold,blocked_by_hold,retention_worker,applicable_legal_hold,hold_reference_recorded,release_hold,LEGAL_HOLD_ACTIVE
deletion_job,cooling_off,schedule,scheduled,retention_worker,window_elapsed_retention_validated_no_hold,execution_time_fixed,cancel,DELETION_BLOCKED
