code,http_status,retryable,user_action,log_policy,producer,ui_surface
EXTERNAL_VERSION_CONFLICT,409,false,open_current_or_contact_sender,version_ids,transition:package/variation,inline_conflict_notice
PAYMENT_ALLOCATION_EXCEEDS,422,false,adjust_allocation,amounts_allowed_in_audit_not_analytics,transition:receivable,inline_field_error
BILLING_PAYMENT_REQUIRED,402,false,download_invoice_or_contact_billing,invoice_id_state,transition:subscription,toast
BILLING_SUSPENDED,403,false,pay_export_or_support,subscription_state,transition:subscription,permission_banner
EXPORT_AUTH_REQUIRED,403,false,re_authenticate_and_request,job_scope,transition:export_job,permission_banner
LEGAL_HOLD_ACTIVE,409,false,contact_authorized_owner,hold_id_category_no_reason_text,transition:deletion_job/organization/subscription,inline_conflict_notice
SUPPORT_GRANT_DENIED,403,false,request_owner_approval,case_scope,transition:support_grant,permission_banner
RATE_LIMITED,429,true,retry_after,retry_bucket_and_operation,pipeline:rate_limiter,toast_retry
JOB_QUEUE_UNAVAILABLE,503,true,retry_later,queue_name_internal_redacted,transition:package,error_banner_with_correlation
RESOURCE_NOT_FOUND,404,false,return_to_list,resource_type_only,pipeline:resource_resolution,page_empty_state
PRECONDITION_FAILED,412,true,refresh_compare_retry,versions_only,pipeline:etag_if_match,inline_stale_banner
VALIDATION_UNKNOWN_FILTER,422,false,remove_unknown_filter,filter_name_only,pipeline:query_validation,inline_field_error
DEPENDENCY_UNAVAILABLE,503,true,retry_later,dependency_class_and_correlation_no_url,pipeline:dependency_circuit,error_banner_with_correlation
ORG_ACTIVATION_REQUIRED,409,false,complete_activation_or_contact_owner,organization_id_and_missing_gate_codes,transition:organization,inline_conflict_notice
ORG_SUSPENSION_CONFLICT,409,false,resolve_subscription_or_security_hold,organization_id_and_state,transition:organization,inline_conflict_notice
ORG_RESTORE_DENIED,409,false,resolve_restore_blocker,organization_id_and_blocker_codes,transition:organization,inline_conflict_notice
ORG_CLOSE_BLOCKED,409,false,resolve_closure_blockers,organization_id_and_blocker_codes,transition:organization,inline_conflict_notice
INVITATION_INVALID,422,false,correct_role_scope_or_create_new_invite,invitation_id_and_reason_code,transition:invitation,inline_field_error
INVITATION_DELIVERY_FAILED,503,true,retry_or_copy_link,invitation_id_provider_class_no_recipient,transition:invitation,error_banner_with_correlation
MEMBERSHIP_INVITE_INVALID,409,false,request_new_invitation,membership_or_invitation_id_only,transition:invitation/membership,inline_conflict_notice
EVIDENCE_REQUEST_CONFLICT,409,false,refresh_request_or_create_new_request,evidence_request_id_state_and_version_only,transition:evidence_request,inline_conflict_notice
MEMBERSHIP_FINAL_OWNER,409,false,transfer_ownership_first,organization_id_and_membership_id,transition:membership,inline_conflict_notice
MEMBERSHIP_SCOPE_CONFLICT,409,false,refresh_and_reselect_scope,membership_version_and_scope_ids,transition:membership,inline_conflict_notice
SCOPE_PROJECT_DENIED,403,false,request_project_scope,project_id_no_project_content,pipeline:project_scope_check,permission_banner
WORK_ITEM_STATE_CONFLICT,409,true,refresh_work_item,work_item_id_and_versions,guard:work_item_projection_check,inline_conflict_notice
QUANTITY_LIMIT_EXCEEDED,422,false,correct_quantity_or_request_override,work_item_id_unit_and_safe_limits,guard:contract_quantity_ceiling,inline_field_error
SYNC_LOCAL_STORAGE_FAILED,507,false,free_device_space_and_retry,device_storage_class_no_local_content,transition:mobile_capture,error_banner_with_correlation
SYNC_TERMINAL,409,false,open_recovery_and_create_revision,operation_id_and_public_reason,transition:mobile_capture,inline_conflict_notice
SCAN_UNAVAILABLE,503,true,wait_and_retry,scan_provider_class_and_correlation,transition:capture_session,error_banner_with_correlation
SCAN_FAILED,500,true,retry_or_replace_upload,object_id_and_correlation_no_filename,transition:capture_session,error_banner_with_correlation
SCAN_QUARANTINED,422,false,replace_file_or_contact_support,object_id_and_safe_reason_code,transition:capture_session,inline_field_error
WAIVER_EXPIRED,409,false,create_new_waiver_or_resolve_requirement,requirement_id_and_expiry,transition:requirement/requirement_waiver,inline_conflict_notice
READINESS_VERSION_CONFLICT,409,true,refresh_readiness,subject_id_input_hash_and_engine_version,transition:requirement,inline_conflict_notice
VARIATION_BLOCKED,422,false,resolve_variation_blockers,variation_id_and_blocker_codes,transition:variation,inline_field_error
PACKAGE_VERSION_CONFLICT,409,true,open_current_package_version,package_ids_and_versions,transition:package/period/period_close_cycle,inline_conflict_notice
PERIOD_REOPEN_DENIED,403,false,request_authorized_reopen,period_id_and_reason_code,transition:period/period_close_cycle,permission_banner
EXTERNAL_OTP_REQUIRED,401,true,complete_otp,share_id_attempt_bucket_no_otp,transition:external_share,reauth_dialog
EXTERNAL_SHARE_LOCKED,429,true,wait_or_request_new_link,share_id_lock_bucket,transition:external_share,toast_retry
RECEIVABLE_STATE_CONFLICT,409,true,refresh_receivable,receivable_id_and_state,transition:receivable,inline_conflict_notice
BILLING_GRACE,402,false,pay_or_contact_billing,invoice_id_subscription_state_and_deadline,transition:subscription,toast
BILLING_PLAN_CONFLICT,409,true,refresh_plan_preview,plan_versions_and_preview_id,transition:subscription,inline_conflict_notice
JOB_CONFLICT,409,true,refresh_job,job_id_state_and_lease_version,transition:job,inline_conflict_notice
JOB_RETRY_EXHAUSTED,500,false,start_new_job_or_contact_support,job_id_attempt_count_and_public_code,transition:job,error_banner_with_correlation
EXPORT_FAILED,500,true,retry_export_or_contact_support,export_job_id_and_correlation,transition:export_job,error_banner_with_correlation
EXPORT_EXPIRED,410,false,request_new_export,export_job_id_and_expiry,transition:export_job,toast
DELETION_BLOCKED,409,false,resolve_hold_or_wait_cooling_off,deletion_job_id_and_blocker_codes,transition:deletion_job,inline_conflict_notice
DELETION_FAILED,500,true,contact_support_and_preserve_report,deletion_job_id_failed_class_counts,transition:deletion_job,error_banner_with_correlation
UPLOAD_GRANT_EXPIRED,410,true,request_new_upload_grant,upload_id_and_expiry,transition:upload_intent,toast
UPLOAD_INTENT_CONFLICT,409,false,refresh_upload_state_or_request_new_grant,upload_id_state_and_request_id_only,transition:upload_intent,inline_conflict_notice
UPLOAD_SIZE_LIMIT,422,false,reduce_file_or_request_policy_change,mime_type_and_size_bucket,guard:upload_quota,inline_field_error
IMPORT_REVIEW_STALE,409,false,run_new_dry_run,import_job_id_and_source_hash,guard:import_preview_freshness,inline_stale_banner
RULE_IMPACT_STALE,409,false,run_new_impact_preview,preview_id_and_input_hash,guard:rule_preview_freshness,inline_stale_banner
WEBHOOK_ENDPOINT_BLOCKED,422,false,correct_or_reactivate_endpoint,integration_id_and_safe_reason_code_no_url,transition:integration/webhook_delivery,inline_field_error
WEBHOOK_DELIVERY_FAILED,503,true,wait_for_retry_or_inspect_delivery,delivery_id_status_bucket_no_payload_or_url,transition:webhook_delivery,error_banner_with_correlation
WEBHOOK_RETRY_EXHAUSTED,500,false,fix_endpoint_and_replay,delivery_id_attempt_count_and_safe_reason,transition:webhook_delivery,error_banner_with_correlation
TELEGRAM_WEBHOOK_UNAUTHORIZED,401,false,resend_with_configured_provider_secret,no_secret_no_payload_no_tenant,pipeline:telegram_webhook_ingress,no_ui_surface
TELEGRAM_WEBHOOK_PAYLOAD_TOO_LARGE,413,false,reduce_provider_payload,no_payload_no_tenant,pipeline:telegram_webhook_ingress,no_ui_surface
TELEGRAM_WEBHOOK_INVALID,422,false,correct_provider_update,no_payload_no_tenant,pipeline:telegram_webhook_ingress,no_ui_surface
PROJECT_STATE_CONFLICT,409,true,refresh_project,project_id_state_and_version,transition:project,inline_conflict_notice
CONTRACT_STATE_CONFLICT,409,true,refresh_contract,contract_id_state_and_version,transition:contract,inline_conflict_notice
IMPORT_JOB_CONFLICT,409,true,refresh_import_job,job_id_state_and_version,transition:import_job,inline_conflict_notice
RULE_PUBLISH_CONFLICT,409,false,refresh_and_run_new_impact_preview,rule_version_and_preview_hash,transition:rule_version,inline_conflict_notice
ACCEPTANCE_STATE_CONFLICT,409,true,refresh_acceptance,package_and_acceptance_state,transition:acceptance,inline_conflict_notice
NOTIFICATION_DELIVERY_FAILED,503,true,wait_or_review_channel,delivery_id_channel_and_safe_reason,transition:notification_delivery,error_banner_with_correlation
CONTRACT_TERMS_CONFLICT,409,false,refresh_terms_and_run_new_preview,terms_version_and_safe_reason,transition:contract_terms,inline_conflict_notice
ASSIGNMENT_CONFLICT,409,true,refresh_assignment_and_occurrences,assignment_id_version_and_safe_reason,transition:work_assignment,inline_conflict_notice
OCCURRENCE_CONFLICT,409,false,refresh_exact_occurrence,occurrence_id_key_state_and_safe_reason,transition:requirement_occurrence,inline_conflict_notice
REFERENCE_STALE,409,false,review_revision_impact_and_acknowledge,reference_version_and_affected_count_bucket,transition:reference_document,inline_conflict_notice
TYPED_EVIDENCE_INVALID,422,false,correct_form_or_attach_required_original,schema_key_version_and_field_codes_no_values,transition:typed_evidence,inline_field_error
HOLD_POINT_BLOCKED,409,false,complete_or_authorize_occurrence,occurrence_id_state_and_reason_codes,transition:requirement_occurrence,inline_conflict_notice
PACKAGE_DECISION_UNBALANCED,422,false,reconcile_line_decisions,package_version_and_difference_bucket_no_exact_amount,transition:package/package_decision_item/package_decision_set,inline_field_error
QUANTITY_CORRECTION_INVALID,422,false,refresh_source_quantity_and_correct_entry,entry_id_type_and_remaining_bucket,guard:quantity_correction_invariants,inline_field_error
REVIEW_SLA_CONFLICT,409,true,refresh_review_task,review_task_id_state_and_due_bucket,transition:review_task,inline_conflict_notice
MEMBER_OFFBOARDING_TOO_LARGE,422,false,resolve_or_reassign_dependencies_before_retry,membership_id_and_dependency_count_bucket_only,guard:offboarding_preview_bounds,inline_field_error
OFFLINE_AUTHORIZATION_LEASE_INVALID,409,false,refresh_execution_bundle_online,lease_state_assignment_version_and_reason_code_no_hash,guard:offline_lease_validation,inline_conflict_notice
NUMBERING_SERIES_CONFLICT,409,true,refresh_series_and_retry,series_id_version_and_sequence_bucket,guard:numbering_reservation,inline_conflict_notice
ACCEPTANCE_LINEAGE_CONFLICT,409,true,refresh_current_acceptance_head,package_and_acceptance_versions_only,guard:acceptance_lineage_head,inline_conflict_notice
OCCURRENCE_TRIGGER_CONFLICT,409,true,refresh_assignment_rule_and_occurrences,assignment_rule_strategy_and_safe_reason_only,guard:occurrence_trigger_dedup,inline_conflict_notice
CAPTURE_AUTHORIZATION_QUARANTINED,409,false,open_security_recovery_or_create_new_authorized_capture,capture_lease_state_first_receipt_bucket_and_safe_reason_no_hash,policy:CA-010,inline_conflict_notice
CAPTURE_AUTHORIZATION_RECOVERY_DENIED,409,false,create_new_authorized_capture,capture_state_decision_and_reason_code_no_evidence_summary,transition:capture_session,inline_conflict_notice
REPORTING_DATE_REVIEW_REQUIRED,409,false,confirm_authoritative_reporting_date,capture_claimed_date_bucket_period_state_and_safe_reason,guard:reporting_date_review,inline_conflict_notice
CLOSED_PERIOD_DATE_CONFLICT,409,false,select_open_period_or_use_guarded_period_workflow,period_state_date_bucket_and_safe_reason,guard:closed_period_date_guard,inline_conflict_notice
WAIVER_REVOKE_CONFLICT,409,true,refresh_active_waiver_and_occurrence,waiver_occurrence_versions_state_and_reason,transition:requirement_waiver,inline_conflict_notice
REVIEW_CORRECTION_WINDOW_EXPIRED,409,false,create_compensating_business_record_or_new_capture,decision_state_age_bucket_and_safe_reason,transition:capture_session,inline_conflict_notice
REVIEW_CORRECTION_DOWNSTREAM_LOCKED,409,false,use_package_or_receivable_correction_workflow,decision_state_and_downstream_resource_types_no_amounts,transition:capture_session,inline_conflict_notice
MEMBER_OFFBOARDING_PLAN_STALE,409,true,refresh_plan_scan_and_resolutions,membership_plan_versions_dependency_bucket_and_safe_reason,transition:member_offboarding_plan,inline_conflict_notice
MEMBER_OFFBOARDING_SCOPE_FORBIDDEN,403,false,request_organization_admin_or_limit_to_owned_project,membership_project_role_and_safe_reason,guard:offboarding_scope_authority,permission_banner
ACCEPTANCE_DOWNSTREAM_LOCKED,409,false,resolve_or_reverse_receivable_and_payments_before_successor,acceptance_receivable_states_and_versions_no_amounts,operation:recordAcceptance,inline_conflict_notice
UNSUPPORTED_BOQ_LINE_TYPE,422,false,keep_section_as_path_or_convert_to_positive_measured_row,row_number_line_type_and_safe_reason_no_description,guard:boq_line_classification,inline_field_error
CONTRACT_TERMS_FUTURE_EFFECTIVE_UNSUPPORTED,422,false,publish_only_terms_effective_now_for_new_work,terms_version_effective_date_bucket_and_safe_reason,guard:contract_terms_effective_policy,inline_field_error
EXPORT_CANCEL_CONFLICT,409,true,refresh_export_job,export_job_state_version_and_safe_reason,transition:export_job,inline_conflict_notice
NUMBERING_SERIES_IN_USE,409,false,finish_or_void_active_reservation_then_retry,series_state_reservation_count_bucket_and_safe_reason,transition:numbering_series,inline_conflict_notice
PACKAGE_DECISION_ISSUES_OPEN,409,false,resolve_all_blocking_reconciliation_issues,package_decision_set_issue_count_by_type_no_amounts,transition:package_decision_issue,inline_conflict_notice
CLIENT_VERSION_UNSUPPORTED,426,false,update_app_read_and_outbox_upload_remain_available,client_and_min_version_only,pipeline:client_version_handshake,blocking_upgrade_screen
RULE_BINDING_REQUIRED,409,false,bind_rule_versions_then_publish,contract_version_id_and_binding_count_only,guard:baseline_rule_binding,inline_conflict_notice
