requirement_id,release,priority,flow_id,primary_screens,transition_domains,permission_resources,operation_ids,data_entities,audit_events,test_ids,external_gates,rollout_flag,owner,primary_actor
REQ-PERIOD-01,Pilot,P0,F10,S19|S20,period|package,period|package|template,listPeriods|createPeriod|getPeriodPreflight|closePeriod|reopenPeriod|generatePackageVersion|getPackageVersion|createPackageDownloadGrant|getJob,reporting_periods|package_versions|package_lines|package_line_quantity_sources|package_line_evidence_sources|package_artifacts|jobs,period_close_opened|period_created|period_closed|period_reopened|package_generation_requested|package_generated|package_download_grant_issued|package_generation_failed,T-PREFLIGHT-001|T-PERIOD-REOPEN-001|T-PACK-001|T-PACK-002|T-JOB-002|T-EXPORT-001|T-STATE-001,V-001,pilot_package,product_engineering,pto_manager
REQ-SUBMIT-01,Pilot,P0,F11,S21,package,package,recordPackageSubmission|recordManualPackageDecision|getPackageVersion,package_submissions|review_decisions|package_versions,package_submitted|package_returned,T-SUBMIT-001|T-RESUBMIT-001|T-ERROR-001,V-002,pilot_manual_submission,product_engineering,commercial_manager
REQ-EXPORT-01,Pilot,P0,F17,S36,organization|export_job|deletion_job,organization|export|report,listExportJobs|createExport|getJob|createExportDownloadGrant|requestOrganizationClosure|getOrganizationClosure|cancelOrganizationClosure,export_jobs|deletion_jobs|jobs|audit_events,organization_export_requested|organization_export_completed|export_download_grant_issued|organization_closure_requested|organization_closure_cancelled|report_exported|organization_export_failed,T-EXPORT-001|T-EXPORT-002|T-CLOSURE-001|T-SUSPEND-001|T-IDEMP-001,V-003,pilot_export_and_closure,engineering,owner
REQ-SAAS-01,Pilot-GA,P0/P1,F13,S35|platform_only,subscription|saas_invoice,saas_subscription|platform_saas_billing,getSubscription|listSaasInvoices|listSaasPayments|issueSaasInvoice|recordSaasPayment|previewPlanChange|requestPlanChange|previewSubscriptionStateChange|changeSubscriptionState|transitionSaasInvoice|reverseSaasPayment,subscriptions|plan_versions|entitlement_overrides|subscription_state_previews|saas_invoices|saas_payments|saas_invoice_adjustments|saas_payment_reversals,plan_change_previewed|plan_changed|subscription_state_previewed|subscription_state_changed|saas_invoice_state_changed|saas_payment_recorded|saas_payment_reversed,T-BILL-001|T-SAAS-PAYMENT-001|T-ENTITLEMENT-001|T-SUSPEND-001|T-SAAS-DOC-001|T-BILLING-STATE-001|T-BILLING-LEDGER-001|T-SAAS-REVERSAL-001,V-006|V-007,pilot_billing_ga_change,product_engineering,owner
REQ-OPS-01,Pilot,P0,F18,platform_only,job|export_job|organization,audit|security|export,listExportJobs|getJob|createExport|createExportDownloadGrant,audit_events|security_events|jobs|job_attempts|transaction_outbox|dead_letters,organization_export_requested|organization_export_completed|export_download_grant_issued,T-CI-001|T-MIG-001|T-AUDIT-001|T-IDEMP-001|T-ALERT-001|T-RESTORE-001|T-ROLLBACK-001|T-DR-001|T-ASVS-001|T-PERF-001|T-SCHEMA-001,V-003|V-005,pilot_operations,engineering_operator,platform_operator
REQ-VAR-01,GA,P1,F09,S17|S18,variation,variation,listVariations|createVariation|transitionVariation|issueVariation|recordVariationDecision,variations|variation_versions|variation_decisions,variation_created|variation_state_changed|variation_issued|variation_acknowledged,T-VAR-001|T-VAR-002|T-VARIATION-LIFECYCLE-001|T-RESUBMIT-001,V-002,ga_variations,product_engineering,commercial_manager
REQ-EXT-01,GA,P1,F11,S21|S29|S30|S31,external_share|package|acceptance,package,listExternalShares|createExternalShare|revokeExternalShare|openExternalReviewSession|createExternalDecision|comparePackageVersions,external_shares|external_sessions|external_decisions|package_versions,external_share_created|external_share_opened|external_share_revoked|external_decision_recorded|package_accepted|package_returned,T-EXT-001|T-EXT-002|T-RESUBMIT-001,V-002,ga_external_review,engineering_security,external_reviewer
REQ-PAY-01,GA,P1,F12,S22,acceptance|receivable,receivable|payment,recordAcceptance|listReceivables|createReceivable|getReceivable|listReceivableLedger|transitionReceivable|adjustReceivable|releaseRetention|listPayments|getPayment|recordPayment|reversePayment|createPaymentReconciliationImport,acceptance_records|receivables|receivable_adjustments|retention_releases|payments|payment_allocations|payment_reversals|reconciliation_imports,acceptance_recorded|receivable_created|receivable_state_changed|retention_released|payment_recorded|payment_reversed|payment_import_queued,T-PAY-001|T-PAY-002|T-COMMERCIAL-001|T-COMMERCIAL-LIFECYCLE-001|T-ACCEPTANCE-LINEAGE-001,V-002|V-006,ga_project_commercials,product_engineering,accountant
REQ-NOTIFY-01,Pilot,P0,F15,notification_center,notification_delivery,notification,listNotifications|markNotificationsRead|getNotificationPreferences|updateNotificationPreferences,notifications|notification_preferences|notification_deliveries,notification_delivered|notification_read|notification_preferences_changed|notification_delivery_failed,T-NOTIFY-001|T-PRIVACY-001,none,pilot_notifications,product_engineering,all_members
REQ-INT-01,GA,P1,F16,S34,integration|webhook_delivery,integration,listIntegrations|createIntegration|previewIntegrationMapping|changeIntegrationState|rotateIntegrationSecret|replayWebhookDelivery,integration_connections|webhook_endpoints|webhook_deliveries|dead_letters,integration_changed|integration_mapping_previewed|integration_secret_rotated|webhook_replay_requested|webhook_delivered|webhook_delivery_failed,T-INTEGRATION-LIFECYCLE-001|T-WEBHOOK-001|T-SSRF-001|T-IDEMP-001,V-010|V-011,ga_integrations,engineering_security,integration_admin
REQ-SUPPORT-01,GA,P1,F18,platform_only,support_grant,support_grant,listSupportGrants|approveSupportGrant|revokeSupportGrant,support_access_grants|support_access_grant_projects|audit_events|security_events,support_grant_opened|support_grant_closed,T-SUPPORT-001|T-BREAKGLASS-001|T-ASVS-001,V-005|V-012,ga_support_plane,engineering_security,security_admin
REQ-UX-01,Pilot-GA,P0,F02-F22,all_critical,none,none,all_x_release_operations,none,none,T-PROTO-001|T-A11Y-001|T-ERROR-001|T-API-001|T-SPEC-SEMANTIC-001|T-FEATURE-PROMISE-001,V-009,critical_ui,product_qa,all_members
REQ-TERMS-REFERENCE-01,Pilot,P0,F19,S37|S39,contract_terms|reference_document,contract_terms|reference_document|numbering_series,getProject|createUploadGrant|completeUpload|listContractTermsVersions|previewContractTermsVersion|publishContractTermsVersion|listNumberingSeries|listReferenceDocumentVersions|previewReferenceDocumentVersion|publishReferenceDocumentVersion,contract_term_versions|numbering_series|reference_documents|reference_document_versions|upload_intents|impact_previews,contract_terms_published|reference_revision_published|upload_grant_issued|upload_completed|impact_preview_created,T-TERMS-001|T-REFERENCE-001|T-UPLOAD-001|T-UPLOAD-002|T-PREVIEW-001|T-PACKAGE-NUMBER-001,V-001|V-002,pilot_baseline_controls,product_engineering,commercial_manager
REQ-ASSIGNMENT-01,Pilot,P0,F20,S38,work_assignment,assignment|work_item|reference_document,listWorkItems|listWorkAssignments|previewWorkAssignments|createWorkAssignments|transitionWorkAssignment|reassignWorkAssignment|acknowledgeAssignmentReference|issueWorkAssignmentExecutionBundle,work_assignments|work_items|work_item_locations|impact_previews|assignment_reassignment_receipts|assignment_reference_acknowledgements|offline_authorization_leases,work_assignment_created|work_assignment_changed|work_assignment_reassigned|assignment_reference_acknowledged|assignment_execution_bundle_issued|impact_preview_created,T-ASSIGNMENT-001|T-ASSIGNMENT-PARTIAL-001|T-ASSIGNMENT-LIFECYCLE-001|T-REFERENCE-001|T-OCCURRENCE-001|T-OFFLINE-AUTH-001|T-RLS-001|T-TENANT-001,none,pilot_assignments,product_engineering,project_manager
REQ-OCCURRENCE-HOLD-01,Pilot,P0,F21,S15|S40|S41,requirement_occurrence|typed_evidence|review_task,occurrence|typed_evidence|hold_point|review_task,submitCaptureSession|getCaptureSession|listReviewQueue|decideCaptureSession|getRequirementOccurrence|listReviewTasks|reassignReviewTask|decideHoldPoint|recordConcealmentEvent,requirement_occurrences|typed_evidence_records|review_tasks|review_task_reassignment_receipts|hold_point_decisions|concealment_events|capture_sessions,requirement_occurrence_changed|typed_evidence_validated|hold_point_decided|concealment_recorded|review_task_changed|review_task_reassigned,T-OCCURRENCE-001|T-TYPED-EVIDENCE-001|T-HOLD-001|T-REVIEW-SLA-001|T-REVIEW-001|T-REVIEW-002|T-OFFBOARD-001,none,pilot_occurrence_controls,product_engineering,internal_reviewer
REQ-PACKAGE-DECISION-01,Pilot,P0,F22,S42,package_decision_set|package_decision_item|package,package_decision|package|quantity,getPackageVersion|recordManualPackageDecision|recordPackageLineDecisions,package_decision_sets|package_decision_items|package_versions|quantity_entries|review_tasks,package_decision_set_started|package_decision_item_saved|package_line_decisions_recorded|package_decision_set_reconciled|quantity_correction_recorded|package_accepted|package_returned,T-PACKAGE-DECISION-001|T-PACKAGE-DECISION-002|T-QUANTITY-CORRECTION-001|T-PACK-001|T-IDEMP-001,V-002,pilot_package_decisions,product_engineering,commercial_manager
REQ-PROJECT-LIFECYCLE-02,Pilot,P0,F04,S07,project,project,transitionProject,projects|reporting_periods|work_assignments|export_jobs,project_updated,T-PROJECT-LIFECYCLE-001|T-CONTRACT-SHELL-001,none,pilot_project_lifecycle,product_engineering,owner
REQ-SEARCH-LOCATION-01,Pilot,P0,F05,S08|S09,import_job,project_search|saved_view|location_import,searchProjectRecords|listSavedViews|createSavedView|previewLocationImport|confirmLocationImport,saved_views|impact_previews|import_jobs|import_row_results|locations,saved_view_created|impact_preview_created|location_import_committed,T-SEARCH-VIEW-001|T-LOCATION-IMPORT-001|T-PREVIEW-001,none,pilot_setup_productivity,product_engineering,pto_manager
REQ-EVIDENCE-INVALIDATE-02,Pilot,P0,F06,S14,capture_session,evidence,invalidateEvidenceObject,evidence_objects|evidence_requirement_links|requirement_occurrences|jobs,evidence_invalidated,T-EVIDENCE-INVALIDATE-001|T-SUBJECT-001,none,pilot_evidence_integrity,product_engineering,internal_reviewer
REQ-PLATFORM-INTEGRITY-02,Pilot,P0,F02-F22,all_critical,none,none,all_x_release_operations,idempotency_records|jobs|transaction_outbox|impact_previews,none,T-SCHEMA-FK-001|T-SUBJECT-001|T-IDEMP-LEASE-001|T-PREVIEW-001,none,pilot_integrity_kernel,product_architecture,platform_operator
REQ-CONTRACT-LIFECYCLE-01,Pilot,P0,F19,S37,contract,contract,transitionContract,contracts|contract_versions|contract_term_versions,contract_state_changed,T-CONTRACT-LIFECYCLE-001,V-002,pilot_contract_lifecycle,product_engineering,commercial_manager
REQ-PACKAGE-NUMBER-01,Pilot,P0,F10,S19|S20,period|package,period|package,closePeriod|generatePackageVersion,numbering_series|package_versions|package_number_reservations|contract_term_versions,period_closed|package_generation_requested,T-PACKAGE-NUMBER-001|T-PACK-001,none,pilot_package_numbering,product_engineering,pto_manager
REQ-READ-CLOSURE-02,Pilot,P0,F05|F06|F08|F10|F17,S13|S14|S19|S20|S21|S33|S36,none,work_item|readiness|rule|package|audit,getWorkItemDetail|listReadinessBlockers|listProjectRuleVersions|listPackageVersions|listPackageVersionLines|listAuditEvents,work_items|work_item_requirements|requirement_occurrences|evidence_rule_versions|package_versions|package_lines|audit_events,none,T-READ-CLOSURE-001|T-API-SQL-PARITY-001|T-RLS-001,none,pilot_read_model_closure,product_engineering,all_members
REQ-OCCURRENCE-STRATEGY-02,Pilot,P0,F05|F20,S33|S38|S40,requirement_occurrence,occurrence,declareOccurrenceTrigger,occurrence_trigger_events|requirement_occurrences|evidence_rule_versions|work_assignments,occurrence_trigger_materialized,T-OCCURRENCE-STRATEGY-001|T-RULE-PAYLOAD-001|T-ASSIGNMENT-BUNDLE-001,none,pilot_occurrence_strategies,product_engineering,pto_manager
REQ-OFFLINE-RECOVERY-02,Pilot,P0,F06|F07,S14|S15|S38,capture_session,capture_authorization_exception|capture_reporting_date,resolveCaptureAuthorizationException|confirmCaptureReportingDate,capture_sessions|offline_authorization_leases|capture_authorization_resolutions|capture_reporting_date_confirmations|quantity_entries,capture_authorization_exception_resolved|capture_reporting_date_confirmed,T-OFFLINE-REVOKE-001|T-LEASE-PARENT-001|T-REPORTING-DATE-001|T-EVIDENCE-ASSOCIATION-001,none,pilot_offline_recovery,mobile_security,security_admin
REQ-OFFBOARD-PLAN-02,Pilot,P0,F14,S32,membership|member_offboarding_plan,member_offboarding_plan|member_project_scope|members,listMemberOffboardingDependencies|createMemberOffboardingPlan|getMemberOffboardingPlan|listMemberOffboardingPlanItems|saveMemberOffboardingResolutions|previewMemberOffboarding|removeMembershipProjectScope,member_offboarding_plans|member_offboarding_plan_items|member_offboarding_previews|member_offboarding_preview_items|membership_project_scope_removal_receipts|memberships|membership_project_scopes|offline_authorization_leases,member_offboarding_plan_changed|member_offboarding_previewed|membership_project_scope_removed|membership_changed,T-OFFBOARD-SCALE-001|T-OFFBOARD-001|T-TENANT-001|T-COMMAND-AVAILABILITY-001,none,pilot_offboarding_plan,security_engineering,admin
REQ-WAIVER-REVOCATION-02,Pilot,P0,F08,S40,requirement_waiver|requirement_occurrence,requirement_waiver|readiness,revokeOccurrenceWaiver,requirement_waivers|requirement_waiver_revocations|requirement_occurrences|readiness_snapshots,occurrence_waiver_revoked,T-WAIVER-REVOKE-001|T-OCCURRENCE-STRATEGY-001,none,pilot_waiver_revocation,product_engineering,pto_manager
REQ-REVIEW-CORRECTION-02,Pilot,P0,F07,S15,capture_session|review_task,review,correctReviewDecision,review_decisions|review_decision_corrections|review_tasks|capture_sessions,review_decision_corrected,T-REVIEW-CORRECTION-001|T-REVIEW-001|T-CONCURRENCY-001,none,pilot_review_correction,product_engineering,pto_manager
REQ-PACKAGE-RECONCILIATION-02,Pilot,P0,F10|F22,S19|S21|S42,period_close_cycle|package_decision_issue|package_decision_set,period|package_decision|package_decision_issue,getPackageDecisionSet|resolvePackageDecisionIssue,period_close_cycles|package_decision_sets|package_decision_items|package_decision_issues|package_versions|package_lines,package_decision_issue_changed,T-PACKAGE-ISSUE-001|T-PERIOD-CYCLE-001|T-PACKAGE-DECISION-002,none,pilot_reconciliation_issues,product_engineering,commercial_manager
REQ-EXPORT-CANCEL-02,Pilot,P0,F17,S36,export_job,export,listExportJobs|cancelExport,export_jobs|export_cancellation_receipts,export_cancel_requested|export_cancelled,T-EXPORT-CANCEL-001|T-IDEMP-LEASE-001|T-COMMAND-AVAILABILITY-001,none,pilot_export_cancel,platform_engineering,owner
REQ-NUMBERING-LIFECYCLE-02,GA,P1,F10|F19,S37,numbering_series,numbering_series,createNumberingSeries|retireNumberingSeries,numbering_series|package_number_reservations|package_versions|contracts,numbering_series_created|numbering_series_retired,T-NUMBERING-SERIES-001|T-PACKAGE-NUMBER-001|T-IDEMP-001,none,ga_numbering_lifecycle,product_engineering,commercial_manager
