action_id,screen_id,action_key,release,operation_id,permission_resource,transition_domain,audit_event,test_ids,state_consequence
A-058,S34,preview_integration_mapping,GA,previewIntegrationMapping,integration,integration,integration_mapping_previewed,T-INTEGRATION-LIFECYCLE-001,Redacted dry-run validates mapping without delivery.
A-059,S34,change_integration_state,GA,changeIntegrationState,integration,integration,integration_changed,T-INTEGRATION-LIFECYCLE-001,Pause resume or revoke follows exact version.
A-060,S34,rotate_integration_secret,GA,rotateIntegrationSecret,integration,integration,integration_secret_rotated,T-INTEGRATION-LIFECYCLE-001,New secret is shown once with bounded overlap.
A-061,S34,replay_webhook,GA,replayWebhookDelivery,integration,webhook_delivery,webhook_replay_requested,T-WEBHOOK-001,Authorized replay creates a new delivery attempt; delivery success is emitted separately by the worker.
A-062,platform_only,approve_support_grant,GA,approveSupportGrant,support_grant,support_grant,support_grant_opened,T-SUPPORT-001,Named scoped time-bound support capability activates.
A-063,platform_only,revoke_support_grant,GA,revokeSupportGrant,support_grant,support_grant,support_grant_closed,T-SUPPORT-001,Support capability ends immediately.
A-064,notification_center,update_notification_preferences,Pilot,updateNotificationPreferences,notification,notification_delivery,notification_preferences_changed,T-NOTIFY-001,Preferences change under ETag; mandatory classes remain and unavailable external channels cannot be enabled.
A-065,platform_only,issue_saas_payment_request,Pilot,issueSaasInvoice,platform_saas_billing,saas_invoice,saas_invoice_state_changed,T-SAAS-PAYMENT-001,Isolated platform billing issues one idempotent payment request with immutable plan period and basis snapshot.
A-066,notification_center,mark_notifications_read,Pilot,markNotificationsRead,notification,notification_delivery,notification_read,T-NOTIFY-001,Only the recipient notifications receive an idempotent server read timestamp.
A-067,S37,publish_contract_terms_version,Pilot,publishContractTermsVersion,contract_terms,contract_terms,contract_terms_published,T-TERMS-001,Fresh validated terms snapshot publishes immutably and becomes the default only for future assignments.
A-068,S38,create_work_assignments,Pilot,createWorkAssignments,assignment,work_assignment,work_assignment_created,T-ASSIGNMENT-001|T-ASSIGNMENT-PARTIAL-001|T-OCCURRENCE-001,Each valid row commits independently by clientOperationId and the receipt preserves rejected siblings.
A-069,S39,publish_reference_revision,Pilot,publishReferenceDocumentVersion,reference_document,reference_document,reference_revision_published,T-REFERENCE-001|T-UPLOAD-002,Verified upload publishes as immutable controlled revision after a fresh impact preview.
A-070,S40,decide_hold_point,Pilot,decideHoldPoint,hold_point,requirement_occurrence,hold_point_decided,T-HOLD-001,Append-only exact occurrence decision updates readiness without rewriting evidence.
A-071,S40,record_concealment_event,Pilot,recordConcealmentEvent,occurrence,requirement_occurrence,concealment_recorded,T-HOLD-001|T-OCCURRENCE-001,Eligible passed occurrence closes through an append-only physical concealment receipt.
A-072,S42,record_package_line_decisions,Pilot,recordPackageLineDecisions,package_decision,package_decision_item,package_decision_item_saved|package_line_decisions_recorded|package_decision_set_reconciled,T-PACKAGE-DECISION-001|T-PACKAGE-DECISION-002|T-QUANTITY-CORRECTION-001,Bounded partial saves remain pending; final exact line set commits once with optimistic versions server totals and correction ownership.
A-073,S37,preview_contract_terms,Pilot,previewContractTermsVersion,contract_terms,none,impact_preview_created,T-PREVIEW-001|T-TERMS-001,Persisted exact-input preview is mandatory and stale previews cannot publish.
A-074,S39,preview_reference_revision,Pilot,previewReferenceDocumentVersion,reference_document,none,impact_preview_created,T-PREVIEW-001|T-REFERENCE-001,Preview lists frozen assignments that will become stale without mutating them.
A-075,S38,preview_work_assignments,Pilot,previewWorkAssignments,assignment,none,impact_preview_created,T-PREVIEW-001|T-ASSIGNMENT-PARTIAL-001,Preview returns per-row scope allocation baseline and occurrence impact.
A-076,S38,transition_work_assignment,Pilot,transitionWorkAssignment,assignment,work_assignment,work_assignment_changed,T-ASSIGNMENT-LIFECYCLE-001,Only guarded transition command changes assignment state.
A-077,S07,transition_project,Pilot,transitionProject,project,project,project_updated,T-PROJECT-LIFECYCLE-001,Only guarded transition command changes project lifecycle.
A-078,S08,create_saved_view,Pilot,createSavedView,saved_view,none,saved_view_created,T-SEARCH-VIEW-001,Only allowlisted actor-owned filters and sorts are persisted.
A-079,S09,preview_location_import,Pilot,previewLocationImport,location_import,none,impact_preview_created,T-LOCATION-IMPORT-001,Preview validates hierarchy duplicates and destructive rows without mutations.
A-080,S09,confirm_location_import,Pilot,confirmLocationImport,location_import,import_job,location_import_committed,T-LOCATION-IMPORT-001,Fresh file mapping and project hashes are required before commit.
A-081,S14,invalidate_evidence,Pilot,invalidateEvidenceObject,evidence,capture_session,evidence_invalidated,T-EVIDENCE-INVALIDATE-001|T-SUBJECT-001,History is retained while only exact linked occurrences and readiness are recomputed.
A-082,S32,transition_membership,Pilot,transitionMembership,members,membership,membership_changed,T-OFFBOARD-001|T-CONCURRENCY-001,Suspend reinstate or revoke uses exact state command final-owner guard and immediate access-version refresh.
A-083,S32,preview_member_offboarding,Pilot,previewMemberOffboarding,members,membership,member_offboarding_previewed,T-OFFBOARD-001|T-OFFBOARD-MULTI-001|T-PREVIEW-001,Organization-level preview covers every cross-project responsibility with exact replacement and assignment offline policy.
A-084,S38,reassign_assignment,Pilot,reassignWorkAssignment,assignment,work_assignment,work_assignment_reassigned,T-ASSIGNMENT-001|T-OFFBOARD-001|T-SYNC-002,Exact-version assignee change preserves occurrences and records explicit offline capture policy.
A-085,S38,acknowledge_assignment_reference,Pilot,acknowledgeAssignmentReference,reference_document,work_assignment,assignment_reference_acknowledged,T-REFERENCE-001|T-ASSIGNMENT-LIFECYCLE-001,Acknowledgement changes reference status only; migration creates a replacement assignment.
A-086,S15,reassign_review_task,Pilot,reassignReviewTask,review_task,review_task,review_task_reassigned,T-REVIEW-SLA-001|T-OFFBOARD-001,Reviewer change checks target version scope and separation of duties.
A-087,S37,transition_contract,Pilot,transitionContract,contract,contract,contract_state_changed,T-CONTRACT-LIFECYCLE-001,Activate complete reopen or terminate through expected version and reason before project completion or archive.
A-088,S18,transition_variation,GA,transitionVariation,variation,variation,variation_state_changed,T-VARIATION-LIFECYCLE-001,Internal approval dispute resolution and incorporation complement immutable external decisions.
A-089,S29,revoke_external_share,GA,revokeExternalShare,package,external_share,external_share_revoked,T-EXT-001,Revocation invalidates capability and every derived session atomically.
A-090,S35,preview_subscription_state,GA,previewSubscriptionStateChange,saas_subscription,subscription,subscription_state_previewed,T-BILLING-STATE-001,Exact cancel or reactivate consequences are frozen before confirmation.
A-091,S35,reverse_saas_payment,GA,reverseSaasPayment,platform_saas_billing,saas_invoice,saas_payment_reversed,T-BILLING-LEDGER-001,Append-only reversal is platform-only bounded by unreversed settlement and recomputes entitlements.
A-092,S38,issue_assignment_execution_bundle,Pilot,issueWorkAssignmentExecutionBundle,assignment,work_assignment,assignment_execution_bundle_issued,T-OFFLINE-AUTH-001|T-MOBILE-001,Issue a bounded exact-version server authorization lease before offline capture.
A-093,S40,declare_occurrence_trigger,Pilot,declareOccurrenceTrigger,occurrence,requirement_occurrence,occurrence_trigger_materialized,T-OCCURRENCE-STRATEGY-001,Idempotent strategy-specific trigger materializes exactly one occurrence from authoritative inputs.
A-094,S14,resolve_capture_authorization_exception,Pilot,resolveCaptureAuthorizationException,capture_authorization_exception,capture_session,capture_authorization_exception_resolved,T-OFFLINE-REVOKE-001|T-LEASE-PARENT-001,First server receipt after invalidation stays quarantined until independent security resolution.
A-095,S14,confirm_capture_reporting_date,Pilot,confirmCaptureReportingDate,capture_reporting_date,capture_session,capture_reporting_date_confirmed,T-REPORTING-DATE-001,Authoritative period date is recorded separately from the untrusted device claim.
A-096,S40,revoke_occurrence_waiver,Pilot,revokeOccurrenceWaiver,requirement_waiver,requirement_waiver,occurrence_waiver_revoked,T-WAIVER-REVOKE-001,Append-only revocation restores requirement risk without erasing the original waiver.
A-097,S15,correct_review_decision,Pilot,correctReviewDecision,review,capture_session,review_decision_corrected,T-REVIEW-CORRECTION-001,Short guarded window appends a correction receipt invalidates the current projection and reopens one review task; the later decision becomes the lineage successor.
A-098,S32,create_member_offboarding_plan,Pilot,createMemberOffboardingPlan,member_offboarding_plan,member_offboarding_plan,member_offboarding_plan_changed,T-OFFBOARD-SCALE-001,Cursor-based organization scan freezes exact membership and dependency versions.
A-099,S32,save_member_offboarding_resolutions,Pilot,saveMemberOffboardingResolutions,member_offboarding_plan,member_offboarding_plan,member_offboarding_plan_changed,T-OFFBOARD-SCALE-001,Each responsibility receives an explicit replacement policy or blocker before preview.
A-100,S32,remove_membership_project_scope,Pilot,removeMembershipProjectScope,member_project_scope,membership,membership_project_scope_removed,T-OFFBOARD-SCALE-001|T-COMMAND-AVAILABILITY-001,Scoped managers may remove only their project scope after exact dependency validation.
A-101,S36,cancel_export,Pilot,cancelExport,export,export_job,export_cancel_requested,T-EXPORT-CANCEL-001,Queued export cancels immediately while a running worker stops at a safe boundary and deletes partial artifacts.
A-102,S37,retire_numbering_series,GA,retireNumberingSeries,numbering_series,numbering_series,numbering_series_retired,T-NUMBERING-SERIES-001,Used series may be retired but issued numbers and the next sequence remain immutable.
A-103,S42,resolve_package_decision_issue,Pilot,resolvePackageDecisionIssue,package_decision_issue,package_decision_issue,package_decision_issue_changed,T-PACKAGE-ISSUE-001,Exact-version resolution records an actor and note while any remaining blocking issue continues to prevent reconciliation.
A-104,S37,create_numbering_series,GA,createNumberingSeries,numbering_series,numbering_series,numbering_series_created,T-NUMBERING-SERIES-001,A new stable series starts at server-owned sequence one and never edits or resets an existing format.
A-105,S11,reply_project_communication,Pilot,replyToProjectCommunication,project,communication_message,project_communication.replied,T-TG-002|T-TG-005,Requires project.view plus communication.reply and always queues to the exact project's locked Telegram group; no recipient or channel selector exists.
A-106,S11,retry_project_communication,Pilot,retryProjectCommunication,project,communication_message,project_communication.retried,T-TG-005,Creates a new outbound identity only from failed or delivery_unknown; unknown delivery requires acknowledgePossibleDuplicate=true before the command is available.
