profile_item,standard_ref,required_level,release,applicability,aktflow_control,evidence,test_ids,status,waiver_policy
ASVS-FILE-08,v5.0.0-5.4.3,L2-selected,Pilot,untrusted downloadable files,Quarantine and malware decision precede user/customer download,Scanner and download gate results,T-UPLOAD-001|T-STORAGE-001,specified_no_runtime_evidence,none
ASVS-AUTH-01,v5.0.0-6.1.1,L1,Pilot,authentication pathways,Rate-limit anti-automation adaptive response and lockout-abuse policy documented,Provider/BFF configuration and abuse tests,T-AUTH-001,specified_no_runtime_evidence,none
ASVS-AUTH-02,v5.0.0-6.3.1,L1,Pilot,login recovery OTP external session,Credential stuffing/brute-force controls match documentation,Authentication abuse report,T-AUTH-001|T-EXT-001,specified_no_runtime_evidence,none
ASVS-AUTH-03,v5.0.0-6.3.3,L2-selected,Pilot,all live tenant users,MFA required before live Pilot; privileged actions also require recent authentication,MFA enrollment/login/step-up report,T-AUTH-001,specified_no_runtime_evidence,Cannot waive for live customer data; sandbox synthetic only without MFA
ASVS-AUTH-04,v5.0.0-6.4.3,L2-selected,Pilot,account recovery,Recovery cannot bypass enabled MFA and invalidates affected sessions,Recovery and revoke abuse report,T-AUTH-001|T-OFFBOARD-001,specified_no_runtime_evidence,none
ASVS-AUTH-05,v5.0.0-6.5.1|v5.0.0-6.5.5,L2-selected,GA,OTP and recovery codes,One-time use and bounded lifetime; hashes/secrets never logged,OTP replay/expiry results,T-AUTH-001|T-EXT-001,specified_no_runtime_evidence,none
ASVS-AUTH-06,v5.0.0-6.8.2|v5.0.0-6.8.4,L2-selected,Pilot,Supabase identity assertions,Verify signature issuer audience expiry and required auth strength/recentness server-side,Invalid-token and recent-auth tests,T-AUTH-001|T-API-001,specified_no_runtime_evidence,none
ASVS-AUTHZ-01,v5.0.0-8.1.1,L1,Pilot,authorization documentation,Permissions and row attributes documented in matrices/state/access surface,Specification consistency report,T-RLS-001|T-STATE-001,specified_no_runtime_evidence,none
ASVS-AUTHZ-02,v5.0.0-8.1.2,L2-selected,Pilot,field-level access,Rate money PII support and security fields have read/write rules,Field projection and API tests,T-RLS-001|T-API-001,specified_no_runtime_evidence,none
ASVS-AUTHZ-03,v5.0.0-8.2.1,L1,Pilot,function-level authorization,Every command/query requires explicit permission and deny override,Generated permission action matrix,T-RLS-001,specified_no_runtime_evidence,none
ASVS-AUTHZ-04,v5.0.0-8.2.2,L1,Pilot,object-level authorization,Resource resolved under organization project location scope before use,IDOR/BOLA abuse report,T-TENANT-001|T-RLS-001,specified_no_runtime_evidence,none
ASVS-AUTHZ-05,v5.0.0-8.2.3,L2-selected,Pilot,object-property authorization,Request binding cannot set tenant system audit money/state fields outside command contract,Mass-assignment/BOPLA report,T-RLS-001|T-API-001,specified_no_runtime_evidence,none
ASVS-AUTHZ-06,v5.0.0-8.3.1,L1,Pilot,trusted enforcement,BFF/domain/database enforce; client UI never authorizes,API/direct-policy differential tests,T-RLS-001,specified_no_runtime_evidence,none
ASVS-AUTHZ-07,v5.0.0-8.4.1,L2-selected,Pilot,multi-tenancy,API grants RLS storage jobs exports and composite FKs prevent cross-tenant effect,Full surface tenant substitution report,T-TENANT-001|T-SCHEMA-001,specified_no_runtime_evidence,Never waivable
ASVS-DATA-01,v5.0.0-14.1.1|v5.0.0-14.1.2,L2-selected,Pilot,customer personal commercial security and telemetry data,Classification and protection/retention/logging requirements per class,Data inventory and protection matrix,T-PRIVACY-001|T-LEGALPACK-001,specified_no_runtime_evidence,Live data blocked without approved baseline
ASVS-DATA-02,v5.0.0-14.2.1,L1,Pilot,HTTP requests,Sensitive tokens/content never placed in path/query; external raw capability is hashed server-side and redacted,URL/query/log scan,T-PRIVACY-001|T-ERROR-001,specified_no_runtime_evidence,none
ASVS-DATA-03,v5.0.0-14.2.2|v5.0.0-14.2.3|v5.0.0-14.2.4,L2-selected,Pilot,cache processors analytics logs,No sensitive response caching or undeclared third-party telemetry; declared controls implemented,Data-flow and telemetry tests,T-PRIVACY-001,specified_no_runtime_evidence,none
ASVS-DATA-04,v5.0.0-14.3.1,L1,Pilot,browser/mobile client storage,Logout/revoke clears non-required authenticated cache; offline draft follows explicit recovery/retention policy,Client storage/device-loss test,T-MOBILE-001|T-SYNC-002|T-PRIVACY-001,specified_no_runtime_evidence,Preserved unsynced draft must be explicit and inaccessible after identity change
ASVS-LOG-01,v5.0.0-16.1.1,L2-selected,Pilot,all application layers,Logging inventory includes events format destination use access and retention,Log inventory review,T-AUDIT-001|T-PRIVACY-001,specified_no_runtime_evidence,none
ASVS-LOG-02,v5.0.0-16.2.1|v5.0.0-16.2.2|v5.0.0-16.2.3|v5.0.0-16.2.4|v5.0.0-16.2.5,L2-selected,Pilot,structured logs,Correlatable UTC structured allowlisted metadata only; destinations and sensitive-field masking enforced,Log schema/redaction corpus,T-AUDIT-001|T-ERROR-001|T-PRIVACY-001,specified_no_runtime_evidence,none
ASVS-LOG-03,v5.0.0-16.3.1|v5.0.0-16.3.2|v5.0.0-16.3.3|v5.0.0-16.3.4,L2-selected,Pilot,security events,Auth failures authorization denials control bypass and unexpected security errors recorded safely,Security-event and alert tests,T-AUTH-001|T-TENANT-001|T-ALERT-001,specified_no_runtime_evidence,none
ASVS-SESSION-01,v5.0.0-7.1.1|v5.0.0-7.2.1,L2-selected,Pilot,session lifecycle,Access token TTL 30m and refresh TTL 14d with idle 72h enforced server-side; membership version checked after scope/revoke,Session config and expiry/idle tests,T-AUTH-001|T-API-001,specified_no_runtime_evidence,none
ASVS-SESSION-02,v5.0.0-7.2.2|v5.0.0-7.3.1,L2-selected,Pilot,session invalidation and rotation,Refresh rotation with reuse detection; password change MFA reset membership revoke and recovery-code use invalidate all user sessions; max 10 parallel sessions with inventory,Rotation reuse and revoke-all tests,T-AUTH-001|T-OFFBOARD-001,specified_no_runtime_evidence,Cannot waive revoke-all on credential change
ASVS-TOKEN-01,v5.0.0-9.1.1|v5.0.0-9.2.1,L2-selected,Pilot,self-contained tokens,JWT signature issuer audience expiry and required auth strength verified server-side; membership never taken from editable claims,Invalid/forged token corpus,T-AUTH-001|T-API-001,specified_no_runtime_evidence,none
ASVS-CRYPTO-01,v5.0.0-11.1.1|v5.0.0-11.3.1,L2-selected,Pilot,secret and data encryption,Integration secrets use envelope encryption (KEK in managed KMS per-secret DEK key_id/wrapped_dek); at-rest managed encryption; approved algorithms only,Envelope contract and key-handling review,T-ASVS-001|T-WEBHOOK-001,specified_no_runtime_evidence,No plaintext secret at rest
ASVS-CRYPTO-02,v5.0.0-11.4.1,L2-selected,GA,key management and rotation,KEK rotation independent of secret_version via key_id re-wrap; keys never leave KMS or reach logs/crash/client,Key rotation drill evidence,T-ASVS-001|T-SECURITY-REVIEW-001,specified_no_runtime_evidence,none
ASVS-VALID-01,v5.0.0-2.1.1|v5.0.0-2.2.1,L1,Pilot,business-logic and input validation,Positive schema validation plus domain guards (quantity ledger money/state invariants) enforced server-side; business flows cannot be executed out of sequence,Schema and state-guard test suites,T-STATE-001|T-QUANTITY-CORRECTION-001|T-API-001,specified_no_runtime_evidence,none
ASVS-VALID-02,v5.0.0-2.3.1,L2-selected,Pilot,anti-automation of business flows,Sensitive business flows (pilot lead invite share-OTP close submit) rate-limited and abuse-resistant per rate-limits catalog,Business-flow abuse tests,T-LEAD-001|T-AUTH-001,specified_no_runtime_evidence,none
ASVS-COMM-01,v5.0.0-12.1.1|v5.0.0-12.2.1,L1,Pilot,secure communication,TLS enforced on all client and service-to-service traffic; plaintext rejected at edge; modern config,TLS scan and edge config,T-ASVS-001,specified_no_runtime_evidence,none
ASVS-CONFIG-01,v5.0.0-13.1.1|v5.0.0-13.4.1,L2-selected,Pilot,configuration and secrets management,Secrets in managed store separated per environment; no service_role in browser/bundle/logs; security headers and CSP enforced,Config and header review,T-ASVS-001|T-PRIVACY-001,specified_no_runtime_evidence,none
ASVS-CODE-01,v5.0.0-15.1.1|v5.0.0-15.2.1,L2-selected,Pilot,secure coding and dependencies,Lockfiles SAST secret and container scans in CI; signed CI artifacts; protected production; parameterized queries only,CI security gate evidence,T-CI-001|T-ASVS-001,specified_no_runtime_evidence,none
ASVS-NA-01,v5.0.0-10-oauth-oidc,not_applicable,Pilot,OAuth/OIDC provider flows,Not applicable in Pilot: no third-party OAuth/OIDC provider role; enterprise SSO deferred to GA with own gate,Applicability rationale,T-ASVS-001,not_applicable,N/A rationale recorded
ASVS-NA-02,v5.0.0-17-webrtc,not_applicable,Pilot,WebRTC,Not applicable: product has no real-time peer media/data channels,Applicability rationale,T-ASVS-001,not_applicable,N/A rationale recorded
